ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Mag_Inst
1,16.801137134365984,1.3662783640064846,276.73603386637114,-15.07515242707901,7665.776393340551,21.283459654275546
2,72.37460411749359,1.324654438533937,276.7358009085331,-15.067129428755226,7686.2820227863485,21.280559233116737
3,2926.133910777419,1.3035095986071603,276.7236268268985,-14.655036639467824,7404.205781117555,21.321153820774956
4,2953.952451030174,1.505116169196424,276.7234790422748,-14.651019412245937,8286.202574929346,21.1989611556772
5,2976.5508649264098,1.1790800773682222,276.72343211213433,-14.647753883529234,7043.600197855059,21.375363279220345
6,3022.9955857772334,2.497203799687271,276.7230389513717,-14.641051066333278,10158.805320186337,20.977743427341245
7,7.956706794367899,6.905188698999439,276.73524394336505,-15.076452030895988,21162.201324214966,20.180947917474228
8,1539.2159567755257,5.817557994112765,276.728844988173,-14.855357845087259,14093.612656493984,20.62229419332907
9,1525.6979576417707,8.555120589377422,276.72849374763825,-14.857321463654724,18873.102143452506,20.305241795770257
10,36.63810924518878,10.308283456054125,276.7346117897458,-15.072325497386647,9426.56434818908,21.058966430477398
11,2519.464051360965,10.109121885505676,276.7240349592221,-14.713811579539495,12285.438511066495,20.77137336515519
12,2974.874541445093,14.773282316540826,276.721410179277,-14.648054791796223,306.50596469033917,24.77875269561338
13,2995.4115375835536,13.983405672322702,276.72144122972725,-14.645085018275484,524.4868557328155,24.195513499861573
14,3011.626594613026,14.75575071677201,276.7212573950445,-14.642746253618329,65.29008295345557,26.457731970700216
15,2806.0719553882655,17.670841069397923,276.72169185923684,-14.672448705014672,37332.02074919313,19.564646275335296
16,3030.533900745412,21.251739199646234,276.72020792784684,-14.640043379919417,102.92386158071895,25.963559841540683
17,1723.4165533383728,26.500275837205027,276.7249706522688,-14.828845545380146,6088.222071459291,21.533623808688716
19,14.374407953993718,29.475349370085535,276.731842419581,-15.075618406749895,78.0937876042808,26.26330880435212
20,2976.866166844973,32.12212603612375,276.71881236109834,-14.647842115797964,73.1990161987851,26.333586911326126
21,524.3508910020682,35.727349520726236,276.72871724952944,-15.00201968747581,5642.617143606032,21.616148561634972
22,2998.6929440609997,38.04285472308044,276.71783641712256,-14.644715084694905,143.43440888796613,25.603216651760707
23,2988.514304513324,39.068738427206775,276.7177263223317,-14.64618970365788,150.507280157457,25.550956252657066
24,478.8054493895537,40.09594486804863,276.72825974959255,-15.008613410373082,3233.3145047069193,22.22073014538505
