ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Erro_Fluxo,SNR,Mag_Inst,Erro_Mag,Std_Fundo_Local,Area_Ap,Exptime
1871,2204.844014859281,1270.3620057698313,276.5308418632585,-14.793600429865807,4084617.550955386,2028.8672530153938,2013.250272971109,-10.533028476093605,0.0005392772148480818,6.2786552804884215,225.39579873190098,250
714,289.1672453270022,504.8703878943148,276.65310214473146,-15.066602528247996,583586.1201119961,769.9998979934951,757.904152497597,-8.420412363761837,0.0014325030367259301,6.2786552804884215,225.39579873190098,250
1954,1749.7749027951834,1318.2261027456432,276.5256101250376,-14.859401273797305,462118.8301776225,685.3686426664628,674.2631649731228,-8.167034141531943,0.001610202153106314,6.2786552804884215,225.39579873190098,250
175,1920.2134818221273,136.2320665434027,276.70115888882606,-14.829945350148117,394317.7358517411,639.0911270065416,616.9976693287825,-7.994765756973765,0.0017596500829267442,6.2786552804884215,225.39579873190098,250
2300,294.8752661630573,1556.710563059171,276.4960812997516,-15.07001128076072,349414.42260213254,598.6819600382906,583.639471247446,-7.863502046245488,0.0018602237399733632,6.2786552804884215,225.39579873190098,250
2987,2517.7694248696557,2058.10469467402,276.41207886305176,-14.751642218229318,337686.41195508,587.6877161879958,574.6017870604212,-7.826433942229611,0.001889482463245168,6.2786552804884215,225.39579873190098,250
788,39.42846444001863,555.5950626363939,276.6465851293698,-15.102794449660673,252946.8406517282,581.4627367810881,435.0181441583227,-7.512723126739589,0.0024957579691316624,6.2786552804884215,225.39579873190098,250
1471,1121.1244062649712,1007.8023386714024,276.57455097583744,-14.948759364361488,210688.6440298062,468.4494116231767,449.7575166116023,-7.314252798497006,0.002413967437786214,6.2786552804884215,225.39579873190098,250
734,513.7250972977309,515.3462384612,276.6505897653912,-15.034286000943693,193222.5208707177,448.83053071733656,430.50217765244884,-7.220294337864718,0.0025219384624727793,6.2786552804884215,225.39579873190098,250
2857,2231.6936665735802,1960.2423565019928,276.42785557414595,-14.79249674315881,164210.2335069153,413.8395081379942,396.7968989856803,-7.043650524972368,0.0027361604961514104,6.2786552804884215,225.39579873190098,250
325,1291.1739157993725,243.49033266822107,276.6878495264031,-14.921097585125157,162243.3341241542,416.79648845836505,389.26271841745887,-7.030567134719465,0.002789118887146181,6.2786552804884215,225.39579873190098,250
1565,1818.3247732004997,1066.943827363843,276.56279995955805,-14.84849940725943,161025.3991772606,410.3678013590761,392.3928696256598,-7.022385939401449,0.0027668698491788365,6.2786552804884215,225.39579873190098,250
2627,1347.5136783276546,1807.2254530271314,276.45433914034794,-14.91933234694952,146508.35574457358,392.6215667512358,373.15412130022133,-6.91980596411139,0.0029095216641771985,6.2786552804884215,225.39579873190098,250
941,1431.0145959401577,666.2844449253987,276.6241915352094,-14.902693064762062,145601.7921025119,397.2731371811807,366.50298868838104,-6.913066779351774,0.0029623223643699013,6.2786552804884215,225.39579873190098,250
31,1100.9471987593208,35.212828109604885,276.719729402943,-14.947648597998887,144565.02659367857,392.5523074377041,368.26946079439426,-6.90530807941475,0.002948113041081484,6.2786552804884215,225.39579873190098,250
2787,1446.288642701757,1914.8317128510146,276.4378769862292,-14.905521819294334,144433.04061898828,390.26674482347755,370.088003999206,-6.904316363708228,0.0029336265652164435,6.2786552804884215,225.39579873190098,250
1184,2663.974177481219,819.0878012130122,276.5961861783611,-14.725537987488824,138236.67858053916,381.0488916112817,362.7793745731667,-6.856708204433264,0.0029927280217553606,6.2786552804884215,225.39579873190098,250
2567,2020.3432432043555,1763.9170407245808,276.45801025170806,-14.82218457590873,132311.17313113855,373.4862996327249,354.2597767608861,-6.809141278590425,0.0030647001754670346,6.2786552804884215,225.39579873190098,250
392,2755.5965559994333,289.5085150426884,276.674732747619,-14.710102969267293,125426.17446279703,367.1261429222755,341.6432658933556,-6.751120419209281,0.0031778761895424066,6.2786552804884215,225.39579873190098,250
1434,1468.7848280681949,992.0682309623892,276.5754375019166,-14.89858374114804,124002.25404041397,362.67605561940496,341.9091283228879,-6.7387239272822805,0.0031754051297943125,6.2786552804884215,225.39579873190098,250
1547,684.7244951387097,1058.0133238186108,276.56888854494224,-15.011853908440143,121251.90919257376,360.211276898212,336.6133071587233,-6.7143714422844605,0.0032253626844528163,6.2786552804884215,225.39579873190098,250
1563,820.5588716893594,1066.275724901492,276.5670867659952,-14.992313042320172,119142.74323603482,356.66911034416813,334.04278582204086,-6.6953189668573385,0.00325018244991646,6.2786552804884215,225.39579873190098,250
2340,431.883185471063,1591.0768062475718,276.4903842880332,-15.050409606383278,115203.85176676129,350.14372107630714,329.0187566769327,-6.658817477537133,0.003299811873844206,6.2786552804884215,225.39579873190098,250
265,283.7280169031367,201.69945939546128,276.6983715504881,-15.066135529975073,114993.44979154407,352.63145246181455,326.100944736336,-6.656832735716848,0.00332933718078562,6.2786552804884215,225.39579873190098,250
427,2517.0271101081853,311.54022120394825,276.67246956113155,-14.744609214376455,111565.58298410947,349.3775661636062,319.32669349429733,-6.6239755762625085,0.0033999663107380936,6.2786552804884215,225.39579873190098,250
1879,2765.8829131642983,1275.2208608752137,276.52776168873993,-14.71271813905259,111078.27320483736,346.7765836766614,320.3165335650462,-6.619222777562097,0.003389459756936114,6.2786552804884215,225.39579873190098,250
2170,785.1790079061436,1464.585198094543,276.5077970113876,-14.999007363664868,104617.6309024665,335.19266423059315,312.1119346170882,-6.554162181005831,0.003478559707535637,6.2786552804884215,225.39579873190098,250
1125,284.3206248578461,782.731449065245,276.61165159321286,-15.068434955172167,96787.03373996832,324.4791010493495,298.2843376567668,-6.469692928606349,0.0036398156488166187,6.2786552804884215,225.39579873190098,250
1430,312.2889776000241,988.3824276908787,276.58083973083603,-15.06523708049314,96532.91098476232,322.234652304227,299.5733397835315,-6.466838485055853,0.003624154274824707,6.2786552804884215,225.39579873190098,250
2341,592.6052251147081,1590.782155694098,276.48976260354016,-15.027253657673942,94806.21056318805,324.1818602164223,292.4476110412096,-6.447241948378565,0.003712459801379643,6.2786552804884215,225.39579873190098,250
887,1018.7342425405462,624.5773207700588,276.6321565743187,-14.961951239314011,94203.84703921046,320.3413182732235,294.0733575893657,-6.440321574839939,0.0036919359472068723,6.2786552804884215,225.39579873190098,250
