ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Erro_Fluxo,SNR,Mag_Inst,Erro_Mag,Std_Fundo_Local,Area_Ap,Exptime,Mag_B_Calibrada
2234,3025.4820695271787,1504.640088695565,276.4924750303096,-14.676213044587564,5199.760649210977,125.51091048174588,41.42875411589993,21.704891639092764,0.02620643616177,6.2786552804884215,352.1809355185953,250,16.162966670392766
1122,2324.854085399957,779.4472267467945,276.603532507861,-14.77428153519562,5169.450169523392,130.1183957122207,39.72881882863453,21.71123913833618,0.0273277694130056,6.2786552804884215,352.1809355185953,250,16.16948562096539
1247,2473.067689389294,858.7066290205839,276.59108849577314,-14.753235146471454,5143.818640369631,126.36006227318612,40.70762983045127,21.716635901864024,0.0266706758541821,6.2786552804884215,352.1809355185953,250,16.175028155645748
2080,973.830958804213,1398.055724649818,276.5169397933442,-14.971558119715642,5129.381771393295,127.8725586526676,40.11323324909702,21.719687461460072,0.0270658810587012,6.2786552804884215,352.1809355185953,250,16.178162140450343
1339,498.2185726344797,930.4509686482388,276.58870683456354,-15.038213330380758,5093.241376034799,148.94462979988515,34.19553550119822,21.727364375419917,0.0317497586771804,6.2786552804884215,352.1809355185953,250,16.18604641435655
2602,2569.4446059497723,1789.654435429925,276.45189043637043,-14.743123944734768,5091.349842685682,125.21364796020136,40.66130110915663,21.72776767216873,0.0267010639203453,6.2786552804884215,352.1809355185953,250,16.186460604492034
2112,2393.191431886373,1417.7481758454471,276.5080763570314,-14.76704096171911,5088.009478923894,125.61955159691004,40.50332463572532,21.728480242358827,0.0268052069741054,6.2786552804884215,352.1809355185953,250,16.187192421806323
1377,53.70252782478988,953.4699972577076,276.5871333746408,-15.10235136741254,5081.864632611192,146.1789456728137,34.76468248707799,21.729792290640468,0.031229970255116,6.2786552804884215,352.1809355185953,250,16.188539909623007
2469,2169.2186616232325,1689.1486121657788,276.46854177081065,-14.800424566697782,5070.501534702111,127.60343084946793,39.73640442852759,21.732222725427114,0.0273225525966449,6.2786552804884215,352.1809355185953,250,16.19103599251117
1891,766.1958026210899,1282.629387478851,276.53502907334985,-15.001016747620604,5036.162751810276,136.72240993619047,36.83494720551442,21.73960063018793,0.0294747266486502,6.2786552804884215,352.1809355185953,250,16.1986131807267
