ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Erro_Fluxo,SNR,Mag_Inst,Erro_Mag,Std_Fundo_Local,Area_Ap,Exptime,Mag_G_Calibrada
716,2079.998889890516,1317.601585480415,276.5308552450707,-14.793608386376132,4126366.032467527,2038.994995723659,2023.7254339131125,15.406458751530575,0.0005364858205594,4.248347012311862,717.5484611499667,600,8.132021220774961
746,1625.3348835816164,1365.5093880319178,276.5256258391819,-14.859411265283953,697246.3608186545,841.4213685387543,828.6530231927912,17.33691248544968,0.0013101985627431,4.248347012311862,717.5484611499667,600,9.987895904446606
314,167.79783480070907,553.8153839624105,276.6531130231905,-15.066614814003875,524827.679190496,732.545137464667,716.4441511507679,17.645336297260464,0.001515400744435,4.248347012311862,717.5484611499667,600,10.284404406113254
105,1796.0125434048225,184.96863891561463,276.7012187470848,-14.829966690117436,419349.4366500609,662.491648981149,632.9882607501268,17.888937966141853,0.001715197685836,4.248347012311862,717.5484611499667,600,10.518595033028369
854,173.7328257722898,1603.8391063636925,276.4960679356591,-15.070023592083398,304545.1977425883,562.4218052745078,541.4889587965839,18.236248736791858,0.0020050270321538,4.248347012311862,717.5484611499667,600,10.85248817705481
584,997.8209487432758,1056.1287404452237,276.57449969474766,-14.948745016031056,217044.88833208248,480.2972309707849,451.8970219615626,18.604004220613433,0.0024025385148308,4.248347012311862,717.5484611499667,600,11.206036195437143
608,562.5097535556497,1106.287204945079,276.5688385214191,-15.011825662405188,216376.01310941225,480.1969991853942,450.5984283043674,18.60735534013642,0.0024094624654718,4.248347012311862,717.5484611499667,600,11.209257851452715
984,1322.5075574137095,1961.1403980601708,276.43791730288604,-14.90555243340815,215853.0969641306,476.07236790956085,453.40396022550937,18.60998241570698,0.002394553412061,4.248347012311862,717.5484611499667,600,11.211783435442548
613,1693.884219063184,1114.7238931189368,276.5627929546308,-14.848495090174628,215311.9434985236,474.3729546502064,453.8874769057829,18.61270782321138,0.0023920025452153,4.248347012311862,717.5484611499667,600,11.214403552517222
861,470.8343519044912,1637.767172759712,276.4897672593249,-15.027232191111668,213710.29622133105,477.3359796695587,447.7146188922831,18.62081451024957,0.0024249822413353,4.248347012311862,717.5484611499667,600,11.22219705462415
