ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Erro_Fluxo,SNR,Mag_Inst_B,Erro_Mag_B,Std_Fundo_Local,Area_Ap,Exptime,Mag_B_Calibrada,Mag_Inst_G,Erro_Mag_G,Paralaxe_Gaia,Erro_Paralaxe_Gaia,Mag_Ap_B,Mag_Ap_G,Cor_B_G,Erro_Cor_B_G,Distancia_pc,Mag_Abs_G,Erro_Mag_Abs_G
486,2204.844014859281,1270.3620057698313,276.5308418632585,-14.793600429865808,4442835.957734531,2119.5149033567736,2096.156979457048,39.37569932633727,0.0005179478496315,6.2786552804884215,352.1809355185953,250,8.573723430027226,40.40645875153058,0.0005364858205594,12.7284,0.023900000378489494,8.808026675720754,7.899836528253317,0.9081901474674368,0.0007457124181607731,78.56447000408535,3.423705602749809,0.0041124970370570255
193,289.1672453270022,504.8703878943148,276.65310214473146,-15.066602528247996,631078.6697513051,803.5118926457624,785.4005342389171,41.494641268144825,0.0013823520008833,6.2786552804884215,352.1809355185953,250,10.77533573206048,42.645336297260464,0.001515400744435,0.7116,0.02019999921321869,10.92696861752831,10.138714073983202,0.7882545435451078,0.0020511792877708707,1405.283867341203,-0.6001062289573618,0.06165963225373964
509,1749.7749027951834,1318.2261027456432,276.5256101250376,-14.859401273797303,495457.4641649537,712.2851904679947,695.5886080397403,41.7573340828579,0.0015608363728952,6.2786552804884215,352.1809355185953,250,11.0482774871492,42.33691248544968,0.0013101985627431,0.8431,0.016300000250339508,11.189661432241387,9.830290262172419,1.3593711700689681,0.002037849468622923,1186.0989206499823,-0.540314291320076,0.04200241202290729
53,1920.2134818221275,136.2320665434027,276.70115888882606,-14.829945350148115,436561.1919155735,677.217302173845,644.639749330424,41.89473720542103,0.001684196485134,6.2786552804884215,352.1809355185953,250,11.191041382187642,42.88893796614185,0.001715197685836,2.2634,0.13910000026226044,11.327064554804515,10.382315742864591,0.9447488119399239,0.0024038346245186856,441.8132013784572,2.156122300622533,0.1334615003630949
591,294.8752661630573,1556.710563059171,276.4960812997516,-15.07001128076072,370665.7207607696,620.2717750612043,597.5859867623265,42.07239396106269,0.0018168096709935,6.2786552804884215,352.1809355185953,250,11.3756294027666,43.23624873679186,0.0020050270321538,0.8316,0.022099999710917473,11.504721310446172,10.729626513514596,0.775094796931576,0.00270572185937191,1202.5012025012024,0.3291989168117553,0.05774230059406178
375,1121.1244062649712,1007.8023386714024,276.57455097583744,-14.948759364361488,225864.55462681784,489.43449858845,461.4806583479931,42.61022981775018,0.0023526446457942,6.2786552804884215,352.1809355185953,250,11.934448884884016,43.60400422061343,0.0024025385148308,1.3314,0.03370000049471855,12.042557167133666,11.097381997336171,0.9451751697974942,0.0033626073432129274,751.089079164789,1.7189247604144313,0.055016147367379725
697,2231.69366657358,1960.2423565019928,276.42785557414595,-14.79249674315881,178759.47547410388,435.6370502142669,410.3403863059432,42.864177342531576,0.0026458521662318,6.2786552804884215,352.1809355185953,250,12.198304153213208,44.011172557131665,0.0029122566171691,0.6061,0.020099999383091927,12.296504691915061,11.504550333854404,0.7919543580606572,0.00393468833451885,1649.8927569707969,0.4172717539044548,0.07207106291311915
402,1818.3247732005,1066.943827363843,276.56279995955805,-14.84849940725943,173927.410718447,430.6424634971779,403.878914554804,42.893929942670084,0.0026881819299647,6.2786552804884215,352.1809355185953,250,12.22921754880466,43.61270782321138,0.0023920025452153,0.49,0.014999999664723873,12.326257292053569,11.106085599934119,1.2201716921194503,0.0035983327062551083,2040.8163265306123,-0.44293399992331217,0.06651666695943498
8,1100.9471987593208,35.212828109604885,276.719729402943,-14.947648597998889,158451.2505711135,416.3477509968751,380.5742920232629,42.99511084369436,0.0028527938506514,6.2786552804884215,352.1809355185953,250,12.334346015059772,43.93665919658932,0.002800089512771,0.5221,0.016899999231100082,12.427438193077847,11.430036973312056,0.9974012197657913,0.0039973658869116024,1915.3418885271021,0.018805439365635834,0.0703447419265354
658,1347.5136783276546,1807.225453027132,276.45433914034794,-14.91933234694952,155603.180460093,409.323707527278,380.147002479018,43.014803847851965,0.0028560004233097,6.2786552804884215,352.1809355185953,250,12.354807340290977,43.81984433971233,0.0026564170975118,0.5306,0.02070000022649765,12.44713119723545,11.313222116435071,1.1339090808003789,0.0039004217994850505,1884.6588767433095,-0.06294165533337548,0.08475607411601575
