ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Erro_Fluxo,SNR,Mag_Inst_B,Erro_Mag_B,Std_Fundo_Local,Area_Ap,Exptime,Mag_B_Calibrada,Mag_Inst_G,Erro_Mag_G,Mag_Ap_B,Mag_Ap_G,Cor_B_G,Erro_Cor_B_G
543,973.830958804213,1398.055724649818,276.5169397933442,-14.971558119715642,5129.381771393295,127.8725586526676,40.11323324909702,46.71968746146007,0.0270658810587012,6.2786552804884215,352.1809355185953,250,16.2042367089706,47.40338433203108,0.0216592132520825,16.152014810843554,14.897670766724382,1.254344044119172,0.034665305943882084
628,2169.2186616232325,1689.1486121657788,276.46854177081065,-14.800424566697782,5070.501534702111,127.60343084946793,39.73640442852759,46.73222272542712,0.0273225525966449,6.2786552804884215,352.1809355185953,250,16.21726103531695,47.522149619530765,0.0245662516790064,16.164550074810606,15.016436054224066,1.14811402058654,0.036742653714078845
488,766.1958026210899,1282.629387478851,276.53502907334985,-15.001016747620604,5036.162751810276,136.72240993619047,36.83494720551442,46.73960063018793,0.0294747266486502,6.2786552804884215,352.1809355185953,250,16.224926788476186,47.68897238441383,0.0301732954355703,16.171927979571414,15.183258819107131,0.9886691604642834,0.04218041332721691
437,2456.00690064064,1155.5329930649898,276.5469078404601,-14.756916239422036,5023.563757733937,134.42000781323108,37.37214302735268,46.742320225228895,0.0290510501151988,6.2786552804884215,352.1809355185953,250,16.227752488312785,47.28820018753025,0.0195981118208368,16.17464757461238,14.782486622223551,1.3921609523888279,0.03504353720356744
291,504.767676130296,780.3231913186812,276.61108419701395,-15.036660459594373,4953.215124724084,129.19436551486777,38.33925036114725,46.75763204573177,0.0283182375704518,6.2786552804884215,352.1809355185953,250,16.24366169833904,47.004101916599225,0.0161767835349866,16.189959395115253,14.498388351292526,1.6915710438227265,0.03261304807334576
439,353.85680656594263,1159.8048888304286,276.5550799484548,-15.059936838136773,4895.755834903481,127.45756668544264,38.41086851270197,46.77030064620065,0.028265437414959,6.2786552804884215,352.1809355185953,250,16.25682456330081,47.55910942554042,0.0272146182033617,16.202627995584137,15.05339586023372,1.1492321353504167,0.0392373596998283
453,1467.48074219991,1195.2011516431553,276.54514219870214,-14.899596428690083,4893.403431569022,140.8031272976149,34.75351382804061,46.77082246619521,0.0312400065608333,6.2786552804884215,352.1809355185953,250,16.257366742063144,47.62582469935721,0.0275236411906237,16.203149815578698,15.12011113405051,1.083038681528187,0.041635187453776465
173,1833.853054362065,439.6454319813461,276.65628378629594,-14.843672502210849,4873.278054615686,130.36207332032805,37.38263691649779,46.775297042611136,0.0290428950323955,6.2786552804884215,352.1809355185953,250,16.262015893740834,47.5906635118412,0.0243185006858038,16.20762439199462,15.0849499465345,1.1226744454601203,0.03787979972845927
127,689.1325543287785,341.69066313749147,276.67575975953565,-15.00828981449638,4861.663368841633,136.10206420047643,35.720717370461564,46.777887811324945,0.0303941264320126,6.2786552804884215,352.1809355185953,250,16.264707741100835,47.505607760034366,0.0247027536121825,16.21021516070843,14.999894194727666,1.2103209659807632,0.03916668172808826
627,595.7705347572161,1688.4137659934988,276.4751780785882,-15.027182485585682,4846.307708005159,139.0605301406153,34.85034684611562,46.78132255802754,0.031153205010957,6.2786552804884215,352.1809355185953,250,16.268276494187273,47.37130295355766,0.0215415663287979,16.213649907411025,14.86558938825096,1.3480605191600645,0.037875602468511516
561,556.1585523796126,1459.543336981735,276.50950092678306,-15.031985153764714,4843.985091912211,131.73441449106932,36.77084010754532,46.78184302701279,0.0295261135406372,6.2786552804884215,352.1809355185953,250,16.268817269230766,47.32476304711717,0.0209330645484564,16.214170376396275,14.819049481810474,1.3951208945858014,0.03619370901419806
675,936.8121038476056,1871.603482169257,276.446430384484,-14.978766221862884,4814.121855687146,128.19944074962976,37.55181635377805,46.788557324186776,0.0289120502127394,6.2786552804884215,352.1809355185953,250,16.275793524203163,47.184147492322936,0.0185233923925276,16.22088467357026,14.678433927016236,1.5424507465540245,0.03433690016922777
192,785.3469619269346,500.8638000583571,276.65160181065994,-14.995080503985037,4797.414156451385,126.67808260288496,37.8709091413271,46.79233199083877,0.0286684429979848,6.2786552804884215,352.1809355185953,250,16.279715459190214,47.55136271318792,0.0245372816390562,16.224659340222253,15.045649147881221,1.1790101923410319,0.03773536556286514
312,1416.1168849763608,834.4253268744377,276.5991740920431,-14.905531767048323,4792.210293951415,129.34164191344811,37.05079217378601,46.79351035241165,0.0293030171907673,6.2786552804884215,352.1809355185953,250,16.28093979445109,47.141529594510565,0.0183403750250851,16.225837701795136,14.635816029203866,1.59002167259127,0.03456929522774754
232,1801.501343241061,622.3356867333365,276.62917729008774,-14.84909708601316,4771.610912106553,130.38801986175417,36.59547032898976,46.79818746394877,0.0296676061337553,6.2786552804884215,352.1809355185953,250,16.285799383142475,47.46047190555136,0.0213708128674587,16.230514813332256,14.954758340244659,1.275756473087597,0.03656334908516414
174,308.6045212245073,441.9239136595327,276.662414467963,-15.063543070534102,4666.156205978652,133.13399971521807,35.04856923069878,46.82245183841883,0.0309770134368008,6.2786552804884215,352.1809355185953,250,16.31101043035448,47.64763859974941,0.0260964299053609,16.254779187802313,15.141925034442714,1.1128541533595993,0.04050430860129762
216,291.17487057618854,574.9734737150463,276.6426309242368,-15.066600480882514,4659.033509056346,131.42033651690318,35.45138927914025,46.82411043661667,0.030625033942995,6.2786552804884215,352.1809355185953,250,16.31273373863606,47.666195412594256,0.0254632579938069,16.256437786000156,15.160481847287556,1.0959559387125992,0.0398280078797417
211,1114.882956925417,563.9327928243018,276.64079726466366,-14.947842369188244,4623.432726328232,130.43260039097555,35.44691060723589,46.83243866475499,0.0306289033769383,6.2786552804884215,352.1809355185953,250,16.321386891967776,47.638332907336135,0.0248350586366931,16.264766014138473,15.132619342029436,1.1321466721090374,0.039432345346958594
316,1735.7181540030872,845.630218078259,276.5961545526948,-14.859503020395833,4576.703504198144,127.62664371941848,35.86009449766479,46.8434680763457,0.0302759938368456,6.2786552804884215,352.1809355185953,250,16.33284661522078,47.53946211501367,0.0232701375371994,16.275795425729186,15.03374854970697,1.242046876022215,0.038185535269377714
