ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Erro_Fluxo,SNR,Mag_Inst,Erro_Mag,Std_Fundo_Local,Area_Ap,Exptime,Mag_G_Calibrada
1569,2079.998889890516,1317.601585480415,276.5308552450707,-14.793608386376132,4017328.013125018,2010.36507196079,1998.3077049815415,15.435534893110908,0.0005433097201664,4.248347012311862,558.6449957049914,600,8.418435614021604
1629,1625.3348835816164,1365.5093880319178,276.5256258391819,-14.859411265283953,680487.377662021,829.970927144749,819.8930292691352,17.363327941209086,0.0013241971345552,4.248347012311862,558.6449957049914,600,10.179231794637971
684,167.79783480070907,553.8153839624105,276.6531130231905,-15.066614814003875,509487.8638752343,720.1878839520263,707.4374274105016,17.677543517295298,0.0015346940350245,4.248347012311862,558.6449957049914,600,10.466228153924874
230,1796.0125434048225,184.96863891561463,276.7012187470848,-14.829966690117436,403909.1731193963,647.3997615252648,623.8945349126974,17.9296688347654,0.0017401979649524,4.248347012311862,558.6449957049914,600,10.696512881051575
1898,173.7328257722898,1603.8391063636925,276.4960679356591,-15.070023592083398,299206.94176822505,555.3132825231816,538.8074645157343,18.255448962999253,0.002015005491759,4.248347012311862,558.6449957049914,600,10.99407200239024
2289,1322.5075574137095,1961.1403980601708,276.43791730288604,-14.90555243340815,212075.29195428916,469.5500126011056,451.6564503522917,18.629152942090787,0.0024038182099539,4.248347012311862,558.6449957049914,600,11.335403526391048
1269,997.8209487432758,1056.1287404452237,276.57449969474766,-14.948745016031056,211664.7402472384,471.470613277784,448.9457758049671,18.631256831069287,0.0024183321427923,4.248347012311862,558.6449957049914,600,11.337325164028154
1326,562.5097535556497,1106.287204945079,276.5688385214191,-15.011825662405188,211565.9997731892,471.838528553042,448.38644360388616,18.631763439400668,0.0024213488509459,4.248347012311862,558.6449957049914,600,11.3377878869412
1933,470.8343519044912,1637.767172759712,276.4897672593249,-15.027232191111668,210026.8952656224,470.1436301060361,446.7292159594994,18.6396908448679,0.0024303313085715,4.248347012311862,558.6449957049914,600,11.34502857352977
1333,1693.884219063184,1114.7238931189368,276.5627929546308,-14.848495090174628,209572.92053098453,465.98138159336185,449.74526624728566,18.64204021195152,0.0024140331905195,4.248347012311862,558.6449957049914,600,11.347174424502615
