ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Erro_Fluxo,SNR,Mag_Inst,Erro_Mag,Std_Fundo_Local,Area_Ap,Exptime
486,2204.844014859281,1270.3620057698313,276.5308418632585,-14.793600429865808,4442835.957734531,2119.5149033567736,2096.156979457048,-10.624300673662733,0.0005179478496315,6.2786552804884215,352.1809355185953,250
193,289.1672453270022,504.8703878943148,276.65310214473146,-15.066602528247996,631078.6697513051,803.5118926457624,785.4005342389171,-8.505358731855175,0.0013823520008833,6.2786552804884215,352.1809355185953,250
509,1749.7749027951834,1318.2261027456432,276.5256101250376,-14.859401273797303,495457.4641649537,712.2851904679947,695.5886080397403,-8.242665917142096,0.0015608363728952,6.2786552804884215,352.1809355185953,250
53,1920.2134818221275,136.2320665434027,276.70115888882606,-14.829945350148115,436561.1919155735,677.217302173845,644.639749330424,-8.105262794578971,0.001684196485134,6.2786552804884215,352.1809355185953,250
716,2517.769424869656,2058.10469467402,276.41207886305176,-14.751642218229318,375066.4547549338,622.1597599872609,602.845890840985,-7.940420536815233,0.0018009577845598,6.2786552804884215,352.1809355185953,250
591,294.8752661630573,1556.710563059171,276.4960812997516,-15.07001128076072,370665.7207607696,620.2717750612043,597.5859867623265,-7.927606038937315,0.0018168096709935,6.2786552804884215,352.1809355185953,250
208,39.42846444001863,555.5950626363939,276.6465851293698,-15.102794449660673,272990.5735182645,637.21322062472,428.41322917096136,-7.595519105631666,0.0025342354672403,6.2786552804884215,352.1809355185953,250
375,1121.1244062649712,1007.8023386714024,276.57455097583744,-14.948759364361488,225864.55462681784,489.43449858845,461.4806583479931,-7.389770182249817,0.0023526446457942,6.2786552804884215,352.1809355185953,250
197,513.7250972977309,515.3462384612,276.6505897653912,-15.034286000943691,208862.14223467515,470.8670451005125,443.5692504029262,-7.304799298608753,0.0024476448694623,6.2786552804884215,352.1809355185953,250
697,2231.69366657358,1960.2423565019928,276.42785557414595,-14.79249674315881,178759.47547410388,435.6370502142669,410.3403863059432,-7.135822657468427,0.0026458521662318,6.2786552804884215,352.1809355185953,250
402,1818.3247732005,1066.943827363843,276.56279995955805,-14.84849940725943,173927.410718447,430.6424634971779,403.878914554804,-7.106070057329919,0.0026881819299647,6.2786552804884215,352.1809355185953,250
8,1100.9471987593208,35.212828109604885,276.719729402943,-14.947648597998889,158451.2505711135,416.3477509968751,380.5742920232629,-7.004889156305641,0.0028527938506514,6.2786552804884215,352.1809355185953,250
306,2663.974177481219,819.0878012130122,276.5961861783611,-14.725537987488824,155646.7408996354,408.0737781666559,381.4181386486191,-6.9855000567813885,0.0028464823509618,6.2786552804884215,352.1809355185953,250
658,1347.5136783276546,1807.2254530271316,276.45433914034794,-14.91933234694952,155603.180460093,409.323707527278,380.147002479018,-6.985196152148041,0.0028560004233097,6.2786552804884215,352.1809355185953,250
683,1446.288642701757,1914.8317128510143,276.4378769862292,-14.905521819294334,153067.70102166673,406.6602162547526,376.4019564819622,-6.96735887688281,0.0028844164630478,6.2786552804884215,352.1809355185953,250
106,2755.5965559994333,289.5085150426884,276.674732747619,-14.710102969267291,144645.40330232776,399.0780164714033,362.4489381331096,-6.905911570131719,0.0029954564237163,6.2786552804884215,352.1809355185953,250
648,2020.3432432043555,1763.9170407245808,276.45801025170806,-14.82218457590873,142782.0897132652,392.4310853088904,363.8399073327194,-6.891834312982495,0.0029840047177869,6.2786552804884215,352.1809355185953,250
367,1468.7848280681949,992.0682309623892,276.5754375019166,-14.89858374114804,132972.48746959277,380.4480484815221,349.51549364052283,-6.814554460885106,0.0031063000632431,6.2786552804884215,352.1809355185953,250
398,684.7244951387097,1058.0133238186108,276.56888854494224,-15.011853908440145,129239.59637966804,377.5198597736576,342.33853672533616,-6.783638960892437,0.0031714220969258,6.2786552804884215,352.1809355185953,250
68,283.7280169031367,201.69945939546128,276.6983715504881,-15.066135529975073,128126.4357431891,377.81528710598513,339.12454078981443,-6.774246840794619,0.0032014787177342,6.2786552804884215,352.1809355185953,250
401,820.5588716893594,1066.275724901492,276.5670867659952,-14.992313042320172,127151.63308836608,373.8464679313134,340.1172513196716,-6.765954834481475,0.0031921344647689,6.2786552804884215,352.1809355185953,250
487,2765.8829131642983,1275.2208608752137,276.52776168874,-14.71271813905259,125452.80159991371,373.88483940070864,335.53861611773056,-6.7513508892738425,0.0032356931448363,6.2786552804884215,352.1809355185953,250
596,431.883185471063,1591.0768062475718,276.4903842880332,-15.050409606383278,122382.89871087816,365.9786298776617,334.399029669541,-6.724451817076115,0.0032467199473422,6.2786552804884215,352.1809355185953,250
562,785.1790079061436,1464.585198094543,276.5077970113876,-14.999007363664868,111125.54802023944,351.0182553668192,316.58053768204064,-6.619684767631815,0.0034294590815637,6.2786552804884215,352.1809355185953,250
292,284.3206248578461,782.731449065245,276.61165159321286,-15.068434955172169,103955.86998387711,342.3982742808142,303.61096358394275,-6.5472725215225545,0.0035759578217597,6.2786552804884215,352.1809355185953,250
364,312.2889776000241,988.3824276908788,276.58083973083603,-15.06523708049314,103564.20730573343,339.07814557574045,305.4287297988072,-6.543174191759146,0.0035546754253117,6.2786552804884215,352.1809355185953,250
10,1006.0524140151398,37.240710900225785,276.71983249701987,-14.9613374047324,101930.7853644812,339.94260091294325,299.84704797438707,-6.525913404349431,0.0036208460524605,6.2786552804884215,352.1809355185953,250
61,393.54027463453775,176.90647181212887,276.70160478495023,-15.050207307126444,101409.40530090002,335.7163729321797,302.0686909464091,-6.520345568003966,0.0035942155957918,6.2786552804884215,352.1809355185953,250
234,1018.7342425405462,624.5773207700588,276.6321565743187,-14.961951239314011,101327.87545221212,338.34282134404737,299.4828589821796,-6.519472320489431,0.0036252492168996,6.2786552804884215,352.1809355185953,250
343,320.34358526497584,925.0207694037116,276.59026308378463,-15.063820913030272,100350.98166756806,337.26799790645487,297.54077555677713,-6.508954041472902,0.00364891164234,6.2786552804884215,352.1809355185953,250
693,1056.9748356680252,1947.8928865404048,276.43455069681926,-14.961751458241594,90765.25893166116,325.5843461517252,278.77648297428823,-6.39994910564134,0.0038945178890865,6.2786552804884215,352.1809355185953,250
112,1837.2743783230533,296.1193124927228,276.67767193855923,-14.842578608126043,89282.81031688314,317.3864478266183,281.30630947940324,-6.38206960809628,0.0038594939516615,6.2786552804884215,352.1809355185953,250
263,1985.9391504352636,715.7760850843196,276.6144615961957,-14.822890096448129,81697.28982467376,304.8844080817054,267.9615213473949,-6.285669102707502,0.0040517011343298,6.2786552804884215,352.1809355185953,250
491,1450.507809016773,1283.7644081988465,276.53200213552094,-14.902400481539194,81004.01108246803,303.6738953379572,266.74670535088,-6.276416289339137,0.0040701533635508,6.2786552804884215,352.1809355185953,250
547,2689.212264469245,1410.304704718308,276.5079461831956,-14.72432512663619,79322.92853914041,304.07042369392497,260.87025359291863,-6.253646827406176,0.0041618390178521,6.2786552804884215,352.1809355185953,250
679,1600.2806648222063,1898.94278344232,276.439610870662,-14.883266352622163,78696.36279299477,297.6418952124421,264.3994815878497,-6.2450366295658855,0.0041062864173554,6.2786552804884215,352.1809355185953,250
622,2550.25369615723,1671.166441858256,276.4696362572739,-14.745416153816093,77777.87029354196,300.98203305966285,258.4136651044691,-6.232290096227086,0.0042014032019594,6.2786552804884215,352.1809355185953,250
494,2914.071028695214,1290.14492095468,276.52491410922363,-14.69140728335838,76824.04067597649,296.6958003287562,258.9320124883837,-6.218892842823469,0.004192992552625,6.2786552804884215,352.1809355185953,250
139,1905.324922800036,360.8519293215521,276.6677290283652,-14.833036971251952,74263.39091550783,293.4689315354845,253.0536725879221,-6.182086917109757,0.0042903941638024,6.2786552804884215,352.1809355185953,250
472,1968.1985044848943,1235.2988458181987,276.53706305184016,-14.827577019271263,71155.86760538927,286.8908968659716,248.02413873254244,-6.135676774281869,0.0043773965128884,6.2786552804884215,352.1809355185953,250
248,746.1589155256687,679.5575231750372,276.62510427249833,-15.001462567946932,67894.26103174919,282.9702629868309,239.93426134289209,-6.084732642755362,0.0045249894447063,6.2786552804884215,352.1809355185953,250
334,962.595433244095,885.6191290826818,276.5934465101956,-14.9711108224289,67640.7851244146,281.5507240647971,240.2436908982962,-6.0806715781335,0.0045191613396399,6.2786552804884215,352.1809355185953,250
706,1849.680655286352,2016.2385793654908,276.42108378497073,-14.84778309663066,65189.51919435107,276.9747000328499,235.36272152878735,-6.040594423096694,0.0046128800387244,6.2786552804884215,352.1809355185953,250
582,899.991961620117,1529.6530624809968,276.4976101927877,-14.982722323436278,62351.60787579074,272.705562408882,228.64076304502967,-5.992269121355905,0.0047484970988579,6.2786552804884215,352.1809355185953,250
165,1746.996717568304,418.6017727688357,276.6597915003423,-14.856108702342048,60813.95237846783,269.08829710329144,225.9999897175906,-5.9651580525636,0.0048039825194536,6.2786552804884215,352.1809355185953,250
313,2278.639091238302,834.3459223516929,276.5955430569781,-14.78117319681407,59566.20275220164,272.8768976372202,218.2896510037017,-5.942649766869494,0.0049736668458991,6.2786552804884215,352.1809355185953,250
231,2485.403641860264,614.4156966178816,276.627454693021,-14.75044125231985,57719.35071908752,271.013618577002,212.9758313333172,-5.908453571072116,0.0050977615309824,6.2786552804884215,352.1809355185953,250
90,524.5072385157331,247.5377865626228,276.6905080256497,-15.0316259224612,57411.17091842703,265.65368160609086,216.11283747821668,-5.90264098963744,0.0050237644957552,6.2786552804884215,352.1809355185953,250
575,929.5077658245788,1502.0530949279262,276.5016060670799,-14.978359556753482,54196.34214129738,260.3818804030288,208.1417572429013,-5.840074917845856,0.0052161565962614,6.2786552804884215,352.1809355185953,250
482,1681.5260972179035,1254.9884110965183,276.535327797961,-14.868984079642,54178.71671694255,253.3976384745624,213.80908300130565,-5.839721763499891,0.0050778946561094,6.2786552804884215,352.1809355185953,250
677,1674.4930844782343,1877.8223216285492,276.4424544764708,-14.872487153740051,53896.93889328369,256.17259464223525,210.3930710018178,-5.834060228044297,0.0051603410455975,6.2786552804884215,352.1809355185953,250
668,2655.124164846529,1841.616497027882,276.44378705752365,-14.730977830893323,50860.96790985737,251.34160234745409,202.3579361109797,-5.771111530223014,0.0053652454698122,6.2786552804884215,352.1809355185953,250
255,1844.7097813880468,695.5373150935359,276.6180777398267,-14.843170103997284,50525.09158936469,252.7579398776606,199.89517090469937,-5.763917751958455,0.0054313468158648,6.2786552804884215,352.1809355185953,250
462,2465.0918009051147,1207.8348886552574,276.53907192612047,-14.755819892026912,50403.4409414767,246.11103165479247,204.79960041846095,-5.761300442989548,0.0053012798744803,6.2786552804884215,352.1809355185953,250
43,2707.6700830674727,120.0565649679826,276.7001943008871,-14.716297583138942,50311.75864258857,251.3380239497942,200.17567518012527,-5.7593237241001365,0.0054237359210755,6.2786552804884215,352.1809355185953,250
108,1792.7284388108976,293.5207098524874,276.67824947324107,-14.848991193061533,48647.36242244564,245.30425799936037,198.3143823886355,-5.722798224649433,0.0054746407543571,6.2786552804884215,352.1809355185953,250
