ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Erro_Fluxo,SNR,Mag_Inst,Erro_Mag,Std_Fundo_Local,Area_Ap,Exptime,Mag_R_Calibrada
119,90.03542598928293,261.3962723176592,276.69838577754973,-15.066164150518468,70385.7365062534,277.72912390342435,253.4330412201525,18.488883473300803,0.0042839717929947,3.344222022651961,399.5664568589252,175,11.518553691212233
253,1550.9358158379223,477.8580558307521,276.6597696001506,-14.856155860030292,64090.81938110892,263.34741473650075,243.3698445273772,18.590605561868557,0.0044611114499761,3.344222022651961,399.5664568589252,175,11.619001747824651
1090,2035.2439770508336,2017.54797438971,276.42787806800214,-14.792561276423344,63147.8401437001,257.05924478930626,245.6548108023037,18.606698869472083,0.0044196162755947,3.344222022651961,399.5664568589252,175,11.634893492636433
612,626.0586807798097,1124.9185711242494,276.567044743646,-14.99229261460921,60547.63110147102,254.71671247338057,237.705765411049,18.6523522311223,0.0045674113041497,3.344222022651961,399.5664568589252,175,11.679975062629303
1093,2151.165106915112,2018.9644841649008,276.42718859878767,-14.775841941956315,58792.45558863829,249.1674487017526,235.95560292874143,18.684291122275354,0.0046012893380111,3.344222022651961,399.5664568589252,175,11.711513930852039
183,2320.578683798946,370.19538110382433,276.6725750519021,-14.744580776011476,58276.17971096077,249.57190369197536,233.50456861877345,18.693867436964588,0.0046495878278619,3.344222022651961,399.5664568589252,175,11.720970305702245
940,1227.0735174503643,1702.9176559934174,276.4781941754969,-14.907894879725674,57026.95933610358,246.54082106807076,231.308385723102,18.717394582405632,0.0046937338506165,3.344222022651961,399.5664568589252,175,11.744202782251492
854,590.7616415312134,1522.5746012577697,276.5077935497715,-14.998978345184542,56398.376696650754,244.28775822989957,230.86861619800925,18.72942861183862,0.0047026746981877,3.344222022651961,399.5664568589252,175,11.756086089867175
147,330.4698992932168,307.2514771263306,276.6904929466892,-15.031644106840414,55839.09752290291,247.2000605562857,225.8862615051372,18.740249145313655,0.0048064012072523,3.344222022651961,399.5664568589252,175,11.76677110011795
105,1165.3035971847023,229.23847825092295,276.6985594769938,-14.910802843853544,55734.333459302696,249.12884922093892,223.71689843866665,18.742288092565445,0.0048530084565679,3.344222022651961,399.5664568589252,175,11.768784510301138
37,811.3196179763173,97.03125609709404,276.7198383567256,-14.961364740567785,55320.98329839131,242.95099698137204,227.7042859907793,18.750370394619743,0.0047680261936042,3.344222022651961,399.5664568589252,175,11.776765584478241
609,347.751344321453,1117.439540403263,276.5693435273228,-15.032422185197294,53198.32130834696,238.5423488049032,223.01415901566529,18.792850301223616,0.0048683007607769,3.344222022651961,399.5664568589252,175,11.81871344578856
108,199.7347217321656,236.6551696040088,276.70161003835653,-15.050228516697414,52867.35852829352,240.32426622670948,219.9834388693033,18.799626092215377,0.0049353715242402,3.344222022651961,399.5664568589252,175,11.825404372476335
570,118.73958294119312,1047.0863006699233,276.5808306064268,-15.06518601463251,51917.42370240256,238.64384225785915,217.5519100396683,18.81931228837087,0.0049905330631297,3.344222022651961,399.5664568589252,175,11.844844006225038
1022,418.8721851930351,1876.5426815697667,276.45564797449674,-15.025178995644929,50096.60045622831,232.01077294702927,215.9235962188097,18.858074482356706,0.0050281674583623,3.344222022651961,399.5664568589252,175,11.883120717908138
722,409.59440767453015,1307.5935075111554,276.5406718378788,-15.024259254977244,49783.35934458586,231.28489639256796,215.24691028715867,18.864884623879263,0.0050439748405753,3.344222022651961,399.5664568589252,175,11.889845564898877
999,1823.987268909228,1821.4614476487927,276.4580142097782,-14.822248322816876,49060.20860786893,230.1566623217776,213.16006285874448,18.880771645394194,0.0050933556006664,3.344222022651961,399.5664568589252,175,11.905533607279875
738,2569.326106346438,1332.9571173932568,276.5278193328448,-14.712686014038429,48966.98009866953,229.28198657949696,213.56662522501145,18.882836819344547,0.0050836594849786,3.344222022651961,399.5664568589252,175,11.907572915681818
712,1771.7434203967423,1293.3214478305804,276.5370661268526,-14.827638687147438,46106.81917972825,221.9550411431915,207.73044370721468,18.948182216424286,0.0052264847685505,3.344222022651961,399.5664568589252,175,11.972099885562649
745,1254.7665851743527,1341.9225757431834,276.53197936631415,-14.902443267362225,45154.61318532957,221.10969817284197,204.21814854105637,18.97083980604502,0.005316373729545,3.344222022651961,399.5664568589252,175,11.994473697160203
171,511.83012415540895,354.2280144343848,276.6826904110463,-15.00565592045946,44284.29094174586,218.56166415899963,202.61691871786735,18.991970883315346,0.0053583876749787,3.344222022651961,399.5664568589252,175,12.015340115416226
891,705.221129986071,1587.46534707933,276.4976202545137,-14.98272365113498,44064.906713134056,220.01062490153785,200.2853577314941,18.99736298410744,0.0054207657129659,3.344222022651961,399.5664568589252,175,12.020664682118014
958,2353.688538163705,1728.6691568661545,276.4696668008678,-14.745436509073032,43513.70109257649,217.2753085715516,200.2698851454944,19.01103006139688,0.0054211845141432,3.344222022651961,399.5664568589252,175,12.03416058426302
915,238.04104677562412,1649.0428132028453,276.4903882185308,-15.050365661320464,43117.773107524845,216.04601358347784,199.5768049238484,19.020954314557983,0.0054400109291972,3.344222022651961,399.5664568589252,175,12.04396053978299
749,2717.4995038442644,1347.844931385607,276.52498154106786,-14.691360290974922,42758.49380216657,217.11714769197653,196.9374333474016,19.030039125517053,0.0055129184002555,3.344222022651961,399.5664568589252,175,12.052931566807487
588,2598.4228461700827,1075.8771614858415,276.5660626805744,-14.707418442988542,42354.12433101435,213.68835272868083,198.20511408401933,19.040355853821744,0.0054776588637353,3.344222022651961,399.5664568589252,175,12.063119081863416
530,966.0966161782476,965.932709125162,276.5893522860165,-14.94257800530979,42067.22342468592,217.16221110036415,193.7133685070283,19.04773550147427,0.0056046725549589,3.344222022651961,399.5664568589252,175,12.070406302128138
173,1641.2599826852577,355.39924600304903,276.67767557729377,-14.842606811938063,41901.55853516198,212.42646732522175,197.25206120860315,19.05201967941739,0.0055041249929034,3.344222022651961,399.5664568589252,175,12.074636822309422
875,2307.4186483677668,1557.5792053811297,276.4953886899977,-14.751412627825127,40557.7560270215,210.1970474099216,192.95112146807023,19.087410325678263,0.0056268136289617,3.344222022651961,399.5664568589252,175,12.109584213669702
231,2464.349647139961,438.25687213168186,276.6618036766113,-14.72410663557038,40034.44895364987,208.17622391274787,192.31038108573517,19.10151048390876,0.0056455610657647,3.344222022651961,399.5664568589252,175,12.123507772575373
