ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Erro_Fluxo,Mag_Inst,Erro_Mag_Inst,Std_Fundo,Area_Ap,Exptime
639,2079.9988898905162,1317.601585480415,276.5308552450707,-14.793608386376132,4214102.997174373,2059.677275058669,-9.616384739096889,0.0005306447467066186,4.248347012311862,993.1466590310957,600
667,1625.3348835816164,1365.5093880319178,276.5256258391819,-14.859411265283951,710988.3666627521,859.7417326624799,-7.684278110972529,0.0013128507341589326,4.248347012311862,993.1466590310957,600
284,167.79783480070907,553.8153839624105,276.6531130231905,-15.066614814003875,537720.2248573983,752.2550797941675,-7.3810128029628075,0.001518862974419681,4.248347012311862,993.1466590310957,600
88,1796.0125434048223,184.96863891561463,276.7012187470848,-14.829966690117436,434406.0168694115,680.1275594240706,-7.149361453908423,0.0016998256529413844,4.248347012311862,993.1466590310957,600
766,173.7328257722898,1603.8391063636925,276.4960679356591,-15.070023592083398,308876.56455103995,580.5549455217576,-6.779084269654757,0.002040648520126938,4.248347012311862,993.1466590310957,600
526,997.8209487432758,1056.1287404452237,276.57449969474766,-14.948745016031056,221533.5087605844,499.7008995182173,-6.418220439368142,0.0024489535223912616,4.248347012311862,993.1466590310957,600
553,1693.884219063184,1114.7238931189368,276.56279295463077,-14.848495090174628,220044.87952946802,498.20915261383857,-6.410900041371571,0.002458160708622204,4.248347012311862,993.1466590310957,600
548,562.5097535556497,1106.2872049450793,276.5688385214191,-15.011825662405187,219946.4731660856,498.1103827313949,-6.410414380221052,0.00245877296756247,4.248347012311862,993.1466590310957,600
887,1322.5075574137097,1961.1403980601708,276.43791730288604,-14.90555243340815,218898.59861674684,497.0574200587674,-6.40522932712744,0.0024653206752714104,4.248347012311862,993.1466590310957,600
773,470.8343519044912,1637.767172759712,276.4897672593249,-15.027232191111667,217036.3504517547,495.180604093583,-6.395953069013683,0.0024770854317508017,4.248347012311862,993.1466590310957,600
485,199.06395661530613,973.4193333637643,276.5902324568379,-15.063800633429208,211805.10214753944,489.86996475214784,-6.369462917952955,0.0025110434797785417,4.248347012311862,993.1466590310957,600
515,1344.7349568162458,1040.1449602288274,276.5754175826093,-14.898588937369547,198472.2446938362,476.06693322742683,-6.298871327870414,0.002604222420129001,4.248347012311862,993.1466590310957,600
350,895.6867732571653,673.6333076530725,276.6320977567383,-14.961938765025257,187949.95888409996,464.8843287343972,-6.239727461650033,0.0026854217936710246,4.248347012311862,993.1466590310957,600
366,1307.1362160975784,714.9625954880464,276.6241617948742,-14.90269262742098,186256.24249445437,463.0590920316601,-6.229898967329469,0.002699202182357685,4.248347012311862,993.1466590310957,600
294,391.8960640868482,564.4396283006728,276.65057028967226,-15.03427362038377,180942.63552544953,457.2855953823394,-6.1984741534314045,0.0027438252430935597,4.248347012311862,993.1466590310957,600
850,1223.8904322637525,1853.7551073315844,276.454368885489,-14.919351674420838,180292.17747216672,456.57382501726687,-6.194564083881114,0.0027494382106387984,4.248347012311862,993.1466590310957,600
137,1167.7597088805705,292.6666763815556,276.68786120372573,-14.921097904769873,176130.1919273092,451.99300010734714,-6.169206394900738,0.0027861708140253195,4.248347012311862,993.1466590310957,600
37,977.9302056858638,84.54823322074633,276.7197860550704,-14.947664908701821,164899.41547346336,439.3937820363352,-6.0976696644999855,0.002892974652379038,4.248347012311862,993.1466590310957,600
173,2392.5145693215472,359.4997605161218,276.672550256302,-14.744616761990228,164622.40608405118,439.0784511938411,-6.0958442364141145,0.002895763011857335,4.248347012311862,993.1466590310957,600
436,2539.2809123047605,866.4907708318174,276.5962322970414,-14.725518910816685,162160.67870233842,436.26615605736544,-6.0794857574698415,0.0029208940750730305,4.248347012311862,993.1466590310957,600
156,2630.9468230047696,337.2100401285351,276.67483298853756,-14.710138844026769,160617.82016757783,434.4943042046799,-6.06910619294653,0.0029369746494059576,4.248347012311862,993.1466590310957,600
572,544.9531718749676,1158.6074122160892,276.5610907451397,-15.014574841189914,158362.22477378033,431.89084847043404,-6.053750859964807,0.0029609579863769738,4.248347012311862,993.1466590310957,600
909,2107.087670722317,2006.6255388590994,276.4278670234085,-14.792515336750158,151588.7560215122,423.9766930389491,-6.006289346626112,0.003036580731403743,4.248347012311862,993.1466590310957,600
116,162.3038890205547,250.8487678174606,276.698444520295,-15.066178749571801,140618.18879993737,410.83533078189424,-5.924725623555185,0.0031720215033099707,4.248347012311862,993.1466590310957,600
387,1861.336800315839,763.927875944001,276.614468146793,-14.822899189607805,136744.75718482933,406.093877574583,-5.894398585058282,0.003224226887812548,4.248347012311862,993.1466590310957,600
105,1237.1012039511493,218.71934281032182,276.69861035033944,-14.910784598058386,135585.59929290647,404.6641564453634,-5.885155786663771,0.0032403431997495074,4.248347012311862,993.1466590310957,600
552,698.1073727256423,1114.6301833416849,276.56702087440885,-14.992271236116313,125023.1251220837,391.39571451513723,-5.797097750241752,0.0033988778222759745,4.248347012311862,993.1466590310957,600
