ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Erro_Fluxo,SNR,Mag_Inst,Erro_Mag,Std_Fundo_Local,Area_Ap,Exptime,Mag_R_Calibrada
1178,2008.2346608360435,1328.3908041816749,276.53084121960944,-14.793650964834558,1980849.996564228,1411.1765282178917,1403.6868931385573,14.865466149087183,0.0007734630887465,3.344222022651961,399.5664568589252,175,8.13745405507906
1233,1553.526625777577,1376.1919972247156,276.52560855238994,-14.859468867536332,514938.5918873254,720.3655655200618,714.8295484051488,16.32820651898951,0.0015188236166542,3.344222022651961,399.5664568589252,175,9.59117686779332
337,3052.9592104401177,409.0928701586448,276.6636697096942,-14.638984189453009,382807.2225074894,628.5136804836791,609.0674465715626,16.650144813938326,0.0017825612025587,3.344222022651961,399.5664568589252,175,9.911130465358058
1469,398.4619626886507,1648.593485834326,276.48978001220013,-15.027221876243422,269155.85827038455,524.1669699186726,513.4925962850074,17.032585529655126,0.0021143440194752,3.344222022651961,399.5664568589252,175,10.291213496077587
865,126.788051121174,983.7579165269696,276.5902598257935,-15.063771461153436,249087.8264871017,505.7987703431413,492.4642784681285,17.11671386408148,0.0022046269089348,3.344222022651961,399.5664568589252,175,10.374823192964131
476,95.55830420534257,564.1539244037978,276.6531052578363,-15.06659239948782,216817.8244306972,470.6502650167134,460.6771536036376,17.26735766582185,0.0023567480859581,3.344222022651961,399.5664568589252,175,10.524538300094596
150,1724.2240933813553,195.60953798970183,276.70118873437264,-14.829961633269454,204143.41484051791,459.29824451337794,444.4680929638777,17.332756683656388,0.0024426950262282,3.344222022651961,399.5664568589252,175,10.589534143589036
982,490.359294528917,1116.6083827737612,276.5688619802481,-15.011840836009434,202696.60994890795,455.1962824107426,445.29495907878777,17.340478908503126,0.002438159197324,3.344222022651961,399.5664568589252,175,10.597208762171801
587,823.8626407750378,683.9524002445806,276.63208255273423,-14.961959848399976,188240.1852090859,439.0184720587207,428.7750907754696,17.42081426804194,0.0025320967177371,3.344222022651961,399.5664568589252,175,10.677048867245935
1726,1250.715799391167,1972.2005022399371,276.43789448875424,-14.905562693912405,167896.82634621736,413.6844634041557,405.8572201735985,17.54498890420194,0.0026750786878587,3.344222022651961,399.5664568589252,175,10.80045798690969
