ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Erro_Fluxo,SNR,Mag_Inst_B,Erro_Mag_B,Std_Fundo_Local,Area_Ap,Exptime,Mag_B_Calibrada,Mag_Inst_R,Erro_Mag_R,Mag_Ap_B,Mag_Ap_R,Cor_B_R,Erro_Cor_B_R
486,2204.844014859281,1270.3620057698313,276.5308418632585,-14.793600429865808,4442835.957734531,2119.5149033567736,2096.156979457048,39.37569932633727,0.0005179478496315,6.2786552804884215,352.1809355185953,250,8.573723430027226,39.86546614908718,0.0007734630887465,8.805149014772645,8.113768791482364,0.691380223290281,0.000930867941542285
193,289.1672453270022,504.8703878943148,276.65310214473146,-15.066602528247996,631078.6697513051,803.5118926457624,785.4005342389171,41.494641268144825,0.0013823520008833,6.2786552804884215,352.1809355185953,250,10.77533573206048,42.26735766582185,0.0023567480859581,10.924090956580201,10.51566030821703,0.4084306483631721,0.0027322442414640076
509,1749.7749027951834,1318.2261027456432,276.5256101250376,-14.859401273797303,495457.4641649537,712.2851904679947,695.5886080397403,41.7573340828579,0.0015608363728952,6.2786552804884215,352.1809355185953,250,11.0482774871492,41.32820651898951,0.0015188236166542,11.186783771293278,9.576509161384692,1.6102746099085863,0.0021778510879899913
53,1920.2134818221275,136.2320665434027,276.70115888882606,-14.829945350148115,436561.1919155735,677.217302173845,644.639749330424,41.89473720542103,0.001684196485134,6.2786552804884215,352.1809355185953,250,11.191041382187642,42.332756683656385,0.0024426950262282,11.324186893856407,10.581059326051566,0.7431275678048408,0.002967031646561544
591,294.8752661630573,1556.710563059171,276.4960812997516,-15.07001128076072,370665.7207607696,620.2717750612043,597.5859867623265,42.07239396106269,0.0018168096709935,6.2786552804884215,352.1809355185953,250,11.3756294027666,42.865158748632766,0.0031112140977865,11.501843649498063,11.113461391027947,0.3883822584701164,0.0036028392335602454
375,1121.1244062649712,1007.8023386714024,276.57455097583744,-14.948759364361488,225864.55462681784,489.43449858845,461.4806583479931,42.61022981775018,0.0023526446457942,6.2786552804884215,352.1809355185953,250,11.934448884884016,43.00699286629735,0.0033395302065312,12.039679506185557,11.255295508692534,0.7843839974930233,0.004085021276531915
197,513.7250972977309,515.3462384612,276.6505897653912,-15.034286000943691,208862.14223467515,470.8670451005125,443.5692504029262,42.695200701391244,0.0024476448694623,6.2786552804884215,352.1809355185953,250,12.022734901148922,43.4223939531019,0.0040742586480621,12.12465038982662,11.670696595497084,0.45395379432953575,0.00475295160277421
697,2231.69366657358,1960.2423565019928,276.42785557414595,-14.79249674315881,178759.47547410388,435.6370502142669,410.3403863059432,42.864177342531576,0.0026458521662318,6.2786552804884215,352.1809355185953,250,12.198304153213208,43.60669886947208,0.0044196162755947,12.293627030966952,11.855001511867265,0.4386255190996877,0.005151071899037625
402,1818.3247732005,1066.943827363843,276.56279995955805,-14.84849940725943,173927.410718447,430.6424634971779,403.878914554804,42.893929942670084,0.0026881819299647,6.2786552804884215,352.1809355185953,250,12.22921754880466,42.65342215414417,0.0028167363815237,12.32337963110546,10.901724796539348,1.4216548345661124,0.00389362632151417
8,1100.9471987593208,35.212828109604885,276.719729402943,-14.947648597998889,158451.2505711135,416.3477509968751,380.5742920232629,42.99511084369436,0.0028527938506514,6.2786552804884215,352.1809355185953,250,12.334346015059772,43.256260211183175,0.0037653955616647,12.424560532129739,11.504562853578356,0.9199976785513826,0.004724048739176879
306,2663.974177481219,819.0878012130122,276.5961861783611,-14.725537987488824,155646.7408996354,408.0737781666559,381.4181386486191,43.01449994321861,0.0028464823509618,6.2786552804884215,352.1809355185953,250,12.354491578841252,43.32307195533458,0.0038783988308722,12.443949631653986,11.571374597729765,0.8725750339242211,0.004810866789430763
