ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Erro_Fluxo,SNR,Mag_Inst,Erro_Mag,Std_Fundo_Local,Area_Ap,Exptime,Mag_B_Calibrada
848,2204.844014859281,1270.3620057698313,276.5308418632585,-14.793600429865808,4442835.957734531,2119.5149033567736,2096.156979457048,14.375699326337267,0.0005179478496315,6.2786552804884215,352.1809355185953,250,8.597416691658644
340,289.1672453270022,504.8703878943148,276.65310214473146,-15.066602528247996,631078.6697513051,803.5118926457624,785.4005342389171,16.494641268144825,0.0013823520008833,6.2786552804884215,352.1809355185953,250,10.791795128367113
883,1749.7749027951834,1318.2261027456432,276.5256101250376,-14.859401273797303,495457.4641649537,712.2851904679947,695.5886080397403,16.757334082857902,0.0015608363728952,6.2786552804884215,352.1809355185953,250,11.063840075286656
87,1920.2134818221275,136.2320665434027,276.70115888882606,-14.829945350148115,436561.1919155735,677.217302173845,644.639749330424,16.89473720542103,0.001684196485134,6.2786552804884215,352.1809355185953,250,11.20613488919351
1285,2517.769424869656,2058.10469467402,276.41207886305176,-14.751642218229318,375066.4547549338,622.1597599872609,602.845890840985,17.059579463184768,0.0018009577845598,6.2786552804884215,352.1809355185953,250,11.37684569950789
1033,294.8752661630573,1556.710563059171,276.4960812997516,-15.07001128076072,370665.7207607696,620.2717750612043,597.5859867623265,17.072393961062687,0.0018168096709935,6.2786552804884215,352.1809355185953,250,11.390116406583779
372,39.42846444001863,555.5950626363939,276.6465851293698,-15.102794449660673,272990.5735182645,637.21322062472,428.41322917096136,17.404480894368334,0.0025342354672403,6.2786552804884215,352.1809355185953,250,11.734025973514584
661,1121.1244062649712,1007.8023386714024,276.57455097583744,-14.948759364361488,225864.55462681784,489.43449858845,461.4806583479931,17.61022981775018,0.0023526446457942,6.2786552804884215,352.1809355185953,250,11.947099768476594
345,513.7250972977309,515.3462384612,276.6505897653912,-15.034286000943691,208862.14223467515,470.8670451005125,443.5692504029262,17.695200701391247,0.0024476448694623,6.2786552804884215,352.1809355185953,250,12.035095702263703
1238,2231.69366657358,1960.2423565019928,276.42785557414595,-14.79249674315881,178759.47547410388,435.6370502142669,410.3403863059432,17.864177342531573,0.0026458521662318,6.2786552804884215,352.1809355185953,250,12.210088084220825
155,1291.1739157993725,243.49033266822107,276.6878495264031,-14.921097585125157,177039.65277636284,441.5550582245202,400.945815201923,17.874673648808454,0.0027078471924023,6.2786552804884215,352.1809355185953,250,12.220958069709631
709,1818.3247732005,1066.943827363843,276.56279995955805,-14.84849940725943,173927.410718447,430.6424634971779,403.878914554804,17.89392994267008,0.0026881819299647,6.2786552804884215,352.1809355185953,250,12.240899907278258
433,1431.0145959401575,666.2844449253987,276.6241915352094,-14.902693064762062,162183.17703087116,425.77390332748575,380.91385066906577,17.969835512614544,0.0028502507800464,6.2786552804884215,352.1809355185953,250,12.31950779295261
14,1100.9471987593208,35.212828109604885,276.719729402943,-14.947648597998889,158451.2505711135,416.3477509968751,380.5742920232629,17.99511084369436,0.0028527938506514,6.2786552804884215,352.1809355185953,250,12.345682951605095
543,2663.974177481219,819.0878012130122,276.5961861783611,-14.725537987488824,155646.7408996354,408.0737781666559,381.4181386486191,18.01449994321861,0.0028464823509618,6.2786552804884215,352.1809355185953,250,12.365762322853424
1158,1347.5136783276546,1807.2254530271316,276.45433914034794,-14.91933234694952,155603.180460093,409.323707527278,380.147002479018,18.014803847851958,0.0028560004233097,6.2786552804884215,352.1809355185953,250,12.366077046801767
1209,1446.288642701757,1914.8317128510143,276.4378769862292,-14.905521819294334,153067.70102166673,406.6602162547526,376.4019564819622,18.03264112311719,0.0028844164630478,6.2786552804884215,352.1809355185953,250,12.384549347264265
183,2755.5965559994333,289.5085150426884,276.674732747619,-14.710102969267291,144645.40330232776,399.0780164714033,362.4489381331096,18.09408842986828,0.0029954564237163,6.2786552804884215,352.1809355185953,250,12.448184240825046
1135,2020.3432432043555,1763.9170407245808,276.45801025170806,-14.82218457590873,142782.0897132652,392.4310853088904,363.8399073327194,18.108165687017504,0.0029840047177869,6.2786552804884215,352.1809355185953,250,12.462762662690587
200,2517.0271101081853,311.54022120394825,276.67246956113155,-14.744609214376457,133365.79000047763,387.0021123056882,344.61256349715643,18.18223891698264,0.0031504945408322,6.2786552804884215,352.1809355185953,250,12.53947297521297
647,1468.7848280681949,992.0682309623892,276.5754375019166,-14.89858374114804,132972.48746959277,380.4480484815221,349.51549364052283,18.185445539114895,0.0031063000632431,6.2786552804884215,352.1809355185953,250,12.54279375636457
702,684.7244951387097,1058.0133238186108,276.56888854494224,-15.011853908440145,129239.59637966804,377.5198597736576,342.33853672533616,18.216361039107564,0.0031714220969258,6.2786552804884215,352.1809355185953,250,12.57480987969738
126,283.7280169031367,201.69945939546128,276.6983715504881,-15.066135529975073,128126.4357431891,377.81528710598513,339.12454078981443,18.225753159205382,0.0032014787177342,6.2786552804884215,352.1809355185953,250,12.584536368852646
708,820.5588716893594,1066.275724901492,276.5670867659952,-14.992313042320172,127151.63308836608,373.8464679313134,340.1172513196716,18.234045165518523,0.0031921344647689,6.2786552804884215,352.1809355185953,250,12.59312357905015
850,2765.8829131642983,1275.2208608752137,276.52776168874,-14.71271813905259,125452.80159991371,373.88483940070864,335.53861611773056,18.248649110726156,0.0032356931448363,6.2786552804884215,352.1809355185953,250,12.608247439606313
1043,431.883185471063,1591.0768062475718,276.4903842880332,-15.050409606383278,122382.89871087816,365.9786298776617,334.399029669541,18.275548182923885,0.0032467199473422,6.2786552804884215,352.1809355185953,250,12.636104146217068
981,785.1790079061436,1464.585198094543,276.5077970113876,-14.999007363664868,111125.54802023944,351.0182553668192,316.58053768204064,18.380315232368183,0.0034294590815637,6.2786552804884215,352.1809355185953,250,12.744601009506312
735,666.9209362309133,1110.468085638821,276.5611352182609,-15.014630743682456,108614.44706159996,354.1059299406351,306.7286873162753,18.405131032630994,0.0035396102317632,6.2786552804884215,352.1809355185953,250,12.770300277575885
521,284.3206248578461,782.731449065245,276.61165159321286,-15.068434955172169,103955.86998387711,342.3982742808142,303.61096358394275,18.452727478477446,0.0035759578217597,6.2786552804884215,352.1809355185953,250,12.819591205452994
644,312.2889776000241,988.3824276908788,276.58083973083603,-15.06523708049314,103564.20730573343,339.07814557574045,305.4287297988072,18.456825808240854,0.0035546754253117,6.2786552804884215,352.1809355185953,250,12.823835439937152
