ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Erro_Fluxo,Mag_Inst_B,Erro_Mag_Inst,Std_Fundo_Local,Area_Ap,Exptime,Mag_B_Calibrada,Mag_Inst_G,Mag_Ap_B,Mag_Ap_G,Cor_B_G
451,2204.8440127870936,1270.3620086995506,276.5308418628304,-14.793600430176484,4684588.896046768,2196.1040814115995,-10.681828689958802,0.0005089689306996,11.85638888415623,625.9983263132058,250,8.757354050690108,-9.616384739096889,8.235670603178903,7.990618743496713,0.24505185968219045
178,289.16724681400905,504.87038925013553,276.6531021445228,-15.066602528039285,665513.2030797655,840.3343242434366,-8.563041667921048,0.0013708983858006,6.428190603371994,625.9983263132058,250,10.876141072727862,-7.381012802962807,10.354457625216657,10.225990679630794,0.12846694558586336
472,1749.7748981203858,1318.2261055491513,276.525610124639,-14.85940127448252,518476.9392453306,742.7707051149423,-8.291973589962716,0.0015553751642591,5.812196479851177,625.9983263132058,250,11.147209150686194,-7.684278110972529,10.62552570317499,9.922725371621073,0.7028003315539166
48,1920.213477533433,136.23206697202016,276.70115888878047,-14.829945350768408,469037.4372905757,728.4395878110779,-8.183168749072594,0.001686148690081,7.912430277280094,625.9983263132058,250,11.256013991576316,-7.149361453908423,10.734330544065111,10.457642028685179,0.27668851537993255
547,294.8752652804137,1556.7105614229208,276.4960812999995,-15.07001128088143,384069.6586874304,650.6717758147255,-7.966174976998924,0.0018393391173265,6.320988872803242,625.9983263132058,250,11.473007763649983,-6.779084269654757,10.95132431613878,10.827919212938845,0.1234051031999357
350,1121.1244058367065,1007.8023380868864,276.57455097592646,-14.94875936442084,236197.45916166552,523.8645901634987,-7.438338032025889,0.0024079843515641,6.234562849843042,625.9983263132058,250,12.00084470862302,-6.418220439368142,11.479161261111816,11.18878304322546,0.29037821788635654
182,513.7250944122183,515.3462434462093,276.6505897646595,-15.034286001380025,220520.4787161823,506.41297613836497,-7.363772294807541,0.0024932494768481,6.043890662031423,625.9983263132058,250,12.075410445841367,-6.1984741534314045,11.553726998330164,11.408529329162196,0.1451976691679686
646,2231.693660905296,1960.2423556788383,276.4278555742921,-14.792496743972666,187970.64012854948,467.7094805152592,-7.190375029326052,0.0027014441332335,5.593853758765243,625.9983263132058,250,12.248807711322858,-6.006289346626112,11.727124263811653,11.60071413596749,0.1264101278441636
376,1818.3247716649903,1066.943828018,276.56279995946693,-14.848499407483471,182784.30300236456,463.65653549819785,-7.1599972208712686,0.0027540215014189,5.72067604882268,625.9983263132058,250,12.27918551977764,-6.410900041371571,11.757502072266437,11.19610344122203,0.5613986310444066
6,1100.9471968110756,35.21283326254797,276.7197294021827,-14.94764859830143,169329.5569291007,459.2834669045771,-7.076981908306217,0.0029448140599994,6.503903082934921,625.9983263132058,250,12.362200832342694,-6.0976696644999855,11.84051738483149,11.509333818093616,0.33118356673787375
284,2663.974168684957,819.087806624101,276.59618617759173,-14.725537988779948,168154.6494688447,445.9026062319062,-7.069422178421071,0.0028789953838039,5.5841198369041,625.9983263132058,250,12.36976056222784,-6.0794857574698415,11.848077114716634,11.52751772512376,0.32055938959287467
111,2517.027102912942,311.5402246770329,276.67246956064463,-14.744609215428948,164827.7608289919,458.9659763719594,-7.047725875355844,0.0030231519134936,6.825007663190767,625.9983263132058,250,12.391456865293064,-6.0958442364141145,11.869773417781861,11.511159246179487,0.3586141716023743
609,1347.5136808500238,1807.225454825388,276.4543391400692,-14.919332346593112,161358.80664721318,441.2930345055148,-7.024631661639581,0.0029692327150766,5.825242953213402,625.9983263132058,250,12.414551079009328,-6.194564083881114,11.892867631498124,11.412439398712486,0.48042823278563773
98,2755.596547352506,289.5085229262413,276.674732746481,-14.71010297054801,160139.3030225212,448.2184702009661,-7.0163948132867535,0.0030387967470343,6.437034115531084,625.9983263132058,250,12.422787927362156,-6.06910619294653,11.901104479850952,11.53789728964707,0.36320719020388204
632,1446.2886424252558,1914.8317107543048,276.4378769865432,-14.905521819325928,158451.02146645606,439.11373156855655,-7.004887586438566,0.0030087895549787,5.9109174718793245,625.9983263132058,250,12.434295154210345,-6.40522932712744,11.912611706699138,11.201774155466161,0.7108375512329772
601,2020.3432395741688,1763.9170392510848,276.4580102519429,-14.822184576426174,149401.1940258933,425.136543863488,-6.9410351493407205,0.0030894715981492,5.644361278275303,625.9983263132058,250,12.49814759130819,-5.75942690166144,11.976464143796985,11.847576580932161,0.12888756286482383
343,1468.7848229317726,992.0682333111548,276.5754375015878,-14.898583741898026,139243.61511038273,414.90238861265647,-6.86458820362728,0.0032350461668182,5.78317758435371,625.9983263132058,250,12.57459453702163,-6.298871327870414,12.052911089510426,11.308132154723188,0.744778934787238
61,283.72801455317415,201.699462460924,276.6983715500406,-15.06613553032644,138674.6665793782,423.2258612696484,-6.8601428042245765,0.0033134842067021,6.412110492539396,625.9983263132058,250,12.579039936424332,-5.924725623555185,12.057356488913129,11.682277859038416,0.37507862987471263
452,2765.882902811676,1275.2208639226233,276.5277616883292,-14.71271814055806,135472.62632150995,419.1407604448525,-6.834778854011856,0.0033590632733066,6.39312829622854,625.9983263132058,250,12.604403886637057,-5.70854121932869,12.08272043912585,11.89846226326491,0.18425817586093984
372,684.7244923273892,1058.0133258873757,276.5688885446453,-15.01185390885358,134608.2874275524,414.37513596204815,-6.827829475611448,0.0033421945536312,6.141070268108782,625.9983263132058,250,12.611353265037462,-6.410414380221052,12.089669817526257,11.196589102372549,0.8930807151537081
375,820.5588662237424,1066.2757287874292,276.56708676543826,-14.992313043123492,132668.68723214534,409.7755483509931,-6.812071057768198,0.0033534161084008,5.985895043793004,625.9983263132058,250,12.627111682880711,-5.797097750241752,12.105428235369509,11.809905732351849,0.2955225030176596
552,431.8831842406559,1591.0768080167895,276.49038428777425,-15.050409606567491,126850.23389636184,398.914180598199,-6.763378159181281,0.0034142714015751,5.728596797803922,625.9983263132058,250,12.675804581467627,-5.5870592367248895,12.154121133956425,12.019944245868711,0.13417688808771366
