ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Mag_Inst
111,942.8611203353653,230.92548337002918,276.6912074414831,-14.9712574390118,2873.247340906448,22.34891748805494
112,2184.150148807765,232.05197150483656,276.68574297109507,-14.792285410191225,117.12064608675428,25.823266373000127
113,2596.3277494216695,232.7730237980518,276.6838713072052,-14.732837606790973,10776.834272634092,20.913622010982046
114,2835.9236595898697,233.9353678188748,276.682671324803,-14.698279568811214,3903.125372796203,22.01631876784343
116,395.17416577818943,235.13886349632608,276.692907732941,-15.050213643784838,59.536274120706366,26.55789589095913
117,1373.4686173003524,236.17757093295907,276.68858949775216,-14.909202408614627,2325.0421868151752,22.57877292825514
118,264.26749115117485,237.15511373530492,276.6931627484782,-15.069086909879537,1103.4850307027737,23.387933906362004
119,754.3468163074075,238.42657868203597,276.69089046276076,-14.998461550116156,2781.277412293399,22.384239249789744
120,1183.0477701195841,239.84516828899638,276.68885396727654,-14.936670456548345,16577.07386027446,20.446080340416035
121,2034.5821373587778,239.74664433816784,276.6852351821146,-14.813888409941654,1970.5094853563496,22.758403697302015
122,1002.8108674586304,241.83546234840077,276.6893246165185,-14.962661191853416,1623.7980028871752,22.96852001435519
124,1291.1728023543412,243.49169633332792,276.6878493277424,-14.921097751352145,104421.79080939441,18.44787217921062
125,1160.339159818069,245.51106345801026,276.68810551479766,-14.939967840070866,2808.001863790312,22.37385654238612
126,524.5029564823598,247.53712778368254,276.690508142148,-15.031626536859232,34591.353977150866,19.647431117851415
127,2091.4397839325347,247.6668949597081,276.68381126742855,-14.805721984348137,2082.744362255042,22.698260102781916
128,1568.3904490753841,248.39589105562123,276.68593591932114,-14.881149712226819,3049.181058458322,22.28439198851777
129,485.2139055301474,250.36899923157952,276.69025247761164,-15.037300632859653,4702.445642084051,21.814040561618146
131,1699.0271541071813,260.16383449369766,276.6836235922621,-14.862362593685685,2338.002917107413,22.572737399950377
132,403.4349406998192,262.91507196869594,276.6887275472102,-15.049138316218288,949.394172663604,23.55123361740111
133,2654.408129384198,262.1130159082829,276.67924929237427,-14.72458375455844,2951.294257596288,22.319818739645488
134,1309.296684799477,264.29927487609086,276.684668433365,-14.918571829773928,1516.6952516184392,23.04260420391916
136,659.2694730913963,265.78567434517146,276.6872124912572,-15.012279048924288,1324.257010888141,23.189919319535704
137,254.22912171495366,271.2351198410594,276.6881191338546,-15.070674567322554,3939.7623933562645,22.006174945774724
138,770.147678948907,271.89480918103607,276.6858297006316,-14.996323281497816,1326.604840071057,23.187996077996655
139,1681.863891903623,272.8728004970423,276.68180152747004,-14.864890710102756,2308.029396469654,22.58674668178449
140,2827.280632085892,272.8149269051025,276.6769138029948,-14.699691289726347,4958.699379702499,21.756430571527936
141,898.3703476029702,274.8582697001177,276.68484237685703,-14.977853620644245,2241.7851817508854,22.618365036324867
142,544.2736233457016,278.71046674786413,276.6857724191231,-15.028906503922856,7060.8906563298515,21.37270130632661
144,1209.0727379612338,280.4731833783735,276.6826826929243,-14.933088269623685,1174.745059267625,23.31999095381274
145,448.8719517827177,282.43651061947173,276.685621456751,-15.042671082319462,2009.174409725434,22.73730592658192
146,2662.2552146324247,281.1847151310809,276.67637300249214,-14.723532501036242,5366.667106953377,21.670588379324744
147,604.9777396468854,288.74799464474984,276.6840168291147,-15.020199267225774,2160.3238817634774,22.658552855008708
148,2755.5965039924076,289.5153047133412,276.67473173587035,-14.710103005503882,65310.114570995254,18.95739890761171
149,661.1088183522165,291.6084888325715,276.6833515991125,-15.012121155924625,2578.9445618904356,22.466245005540223
150,1792.7273569256997,293.5260090652113,276.67824868762483,-14.848991371290817,27386.21173281878,19.90102011787226
151,706.0695327343477,294.61466700941537,276.6827120599495,-15.005653462818382,7696.864221224372,21.279065458358286
152,1158.5828809355826,294.74883624532316,276.680768085632,-14.940426473114979,2380.5826545491946,22.553141859410182
154,1131.848759251936,296.9596459573364,276.6805520454978,-14.944289629958666,1020.4712992472996,23.472848034948463
155,1837.237789965343,296.0924571411069,276.677676099292,-14.842583771519788,50103.595297946216,19.245177794734737
