ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Mag_Inst,SNR,Std_Fundo,Area_Ap,Exptime,Mag_G_Calibrada
451,2204.8440127870936,1270.3620086995506,276.5308418628304,-14.793600430176484,4684588.896046768,-10.681828689958802,2158.712675096299,6.2786552804884215,625.9983263132058,250,7.737918542557125
178,289.16724681400905,504.87038925013553,276.6531021445228,-15.066602528039285,665513.2030797655,-8.563041667921048,801.0728793228911,6.2786552804884215,625.9983263132058,250,9.85670556459488
472,1749.7748981203858,1318.2261055491513,276.525610124639,-14.85940127448252,518476.9392453306,-8.291973589962716,703.5057602734635,6.2786552804884215,625.9983263132058,250,10.127773642553212
48,1920.213477533433,136.23206697202016,276.70115888878047,-14.829945350768408,469037.4372905757,-8.183168749072594,667.527623975822,6.2786552804884215,625.9983263132058,250,10.236578483443333
661,2517.7694164840077,2058.104692522373,276.4120788634073,-14.751642219429767,398110.92115922016,-8.005160207096331,612.2691742662729,6.2786552804884215,625.9983263132058,250,10.414587025419596
547,294.8752652804137,1556.7105614229208,276.4960812999995,-15.07001128088143,384069.6586874304,-7.966174976998924,600.7343510469494,6.2786552804884215,625.9983263132058,250,10.453572255517003
192,39.42846959895621,555.5950624566666,276.6465851293749,-15.102794448916647,287267.5386274981,-7.650866361508516,514.3364495923738,6.2786552804884215,625.9983263132058,250,10.768880871007411
350,1121.1244058367065,1007.8023380868864,276.57455097592646,-14.94875936442084,236197.45916166552,-7.438338032025889,462.4436008716872,6.2786552804884215,625.9983263132058,250,10.981409200490038
646,2231.693660905296,1960.2423556788383,276.4278555742921,-14.792496743972666,187970.64012854948,-7.190375029326052,407.62322353397104,6.2786552804884215,625.9983263132058,250,11.229372203189875
376,1818.3247716649903,1066.943828018,276.56279995946693,-14.848499407483471,182784.30300236456,-7.1599972208712686,401.30032218400754,6.2786552804884215,625.9983263132058,250,11.259750011644659
6,1100.9471968110756,35.21283326254797,276.7197294021827,-14.94764859830143,169329.5569291007,-7.076981908306217,384.435665341798,6.2786552804884215,625.9983263132058,250,11.342765324209712
284,2663.974168684957,819.087806624101,276.59618617759173,-14.725537988779948,168154.6494688447,-7.069422178421071,382.92949620832695,6.2786552804884215,625.9983263132058,250,11.350325054094856
111,2517.027102912942,311.5402246770329,276.67246956064463,-14.744609215428948,164827.7608289919,-7.047725875355844,378.6337989779324,6.2786552804884215,625.9983263132058,250,11.372021357160083
609,1347.5136808500238,1807.225454825388,276.4543391400692,-14.919332346593112,161358.80664721318,-7.024631661639581,374.1049614857727,6.2786552804884215,625.9983263132058,250,11.395115570876346
98,2755.596547352506,289.5085229262413,276.674732746481,-14.71010297054801,160139.3030225212,-7.0163948132867535,372.5004948546027,6.2786552804884215,625.9983263132058,250,11.403352419229174
632,1446.2886424252558,1914.8317107543048,276.4378769865432,-14.905521819325928,158451.02146645606,-7.004887586438566,370.2684365329525,6.2786552804884215,625.9983263132058,250,11.41485964607736
343,1468.7848229317726,992.0682333111548,276.5754375015878,-14.898583741898026,139243.61511038273,-6.86458820362728,343.9200078346426,6.2786552804884215,625.9983263132058,250,11.555159028888648
61,283.72801455317415,201.699462460924,276.6983715500406,-15.06613553032644,138674.6665793782,-6.8601428042245765,343.11071531843936,6.2786552804884215,625.9983263132058,250,11.559604428291351
452,2765.882902811676,1275.2208639226233,276.5277616883292,-14.71271814055806,135472.62632150995,-6.834778854011856,338.52246913337973,6.2786552804884215,625.9983263132058,250,11.584968378504072
372,684.7244923273892,1058.0133258873757,276.5688885446453,-15.01185390885358,134608.2874275524,-6.827829475611448,337.27400963395485,6.2786552804884215,625.9983263132058,250,11.59191775690448
375,820.5588662237424,1066.2757287874292,276.56708676543826,-14.992313043123492,132668.68723214534,-6.812071057768198,334.45670361919883,6.2786552804884215,625.9983263132058,250,11.60767617474773
552,431.8831842406559,1591.0768080167895,276.49038428777425,-15.050409606567491,126850.23389636184,-6.763378159181281,325.8702976928151,6.2786552804884215,625.9983263132058,250,11.656369073334647
54,1360.6488693467345,169.56858568092036,276.6985791836301,-14.910771551794069,115499.78539833956,-6.661602921565563,308.4905671186627,6.2786552804884215,625.9983263132058,250,11.758144310950364
520,785.1790088256274,1464.5851955180983,276.5077970117683,-14.999007363522136,115244.67262683217,-6.659202124705246,308.0896593723558,6.2786552804884215,625.9983263132058,250,11.760545107810682
10,29.435161033703725,40.11946769006382,276.72356861090486,-15.102108381266394,111958.23424049384,-6.627790079152637,302.8819656547725,6.2786552804884215,625.9983263132058,250,11.79195715336329
55,393.54027059846646,176.90647490859365,276.7016047845053,-15.050207307720978,111361.91556156364,-6.621991710141425,301.92830862828674,6.2786552804884215,625.9983263132058,250,11.797755522374501
8,1006.0524132200836,37.24071041927356,276.719832497095,-14.961337404844992,109374.00932802714,-6.602435309217095,298.72927942311804,6.2786552804884215,625.9983263132058,250,11.817311923298831
340,312.2889805666252,988.38243210862,276.58083973016426,-15.065237080083532,108476.75380445425,-6.593491679170452,297.2751914798819,6.2786552804884215,625.9983263132058,250,11.826255553345476
320,320.3435889644395,925.0207712998376,276.5902630834861,-15.063820912504893,104270.34073213092,-6.550551960120837,290.3710061361023,6.2786552804884215,625.9983263132058,250,11.86919527239509
120,105.06142297039914,345.3220441902247,276.67769382103893,-15.09247508800286,95988.84601703649,-6.460701904807202,276.3294348106655,6.2786552804884215,625.9983263132058,250,11.959045327708726
104,1837.2743762257444,296.11931780024725,276.6776719377767,-14.842578608450744,95375.24346571538,-6.453739127304752,275.2637811906134,6.2786552804884215,625.9983263132058,250,11.966008105211175
243,1985.9391467823395,715.7760855610738,276.6144615961401,-14.822890096976826,86137.79346014862,-6.343134334593714,258.75771238886426,6.2786552804884215,625.9983263132058,250,12.076612897922214
507,2689.2122570914107,1410.3047068063524,276.50794618291525,-14.724325127708608,84783.3622973219,-6.325926567352244,256.2598730904396,6.2786552804884215,625.9983263132058,250,12.093820665163683
459,2914.071019909881,1290.1449245754688,276.52491410872085,-14.691407284640226,83870.05400357349,-6.314167284964735,254.56359790682717,6.2786552804884215,625.9983263132058,250,12.105579947551192
628,1600.2806649737718,1898.9427829164783,276.43961087073984,-14.883266352598246,81733.93091367668,-6.286155944296263,250.5576293677199,6.2786552804884215,625.9983263132058,250,12.133591288219664
658,56.04811972227351,2049.7609208162944,276.4234596350544,-15.106334210028232,77396.91722923826,-6.2269591352922,242.2504367633408,6.2786552804884215,625.9983263132058,250,12.192788097223728
440,1968.198501514658,1235.2988494269362,276.5370630513145,-14.827577019714134,74703.12090350251,-6.188496843061111,236.9666539298024,6.2786552804884215,625.9983263132058,250,12.231250389454816
651,96.3815098748558,1991.9580317605323,276.43192413537975,-15.100302029250653,72764.30737387098,-6.159945977708853,233.10149799373283,6.2786552804884215,625.9983263132058,250,12.259801254807074
639,2969.045501721031,1923.5574360227963,276.43026691672515,-14.686039246337216,70624.4023481033,-6.127536942494163,228.77223539741297,6.2786552804884215,625.9983263132058,250,12.292210290021764
290,2278.639087661837,834.3459236360869,276.5955430568018,-14.781173197335118,68180.02359471447,-6.089292846287365,223.74219559879137,6.2786552804884215,625.9983263132058,250,12.330454386228563
653,1849.6806540746627,2016.23857975354,276.4210837849178,-14.847783096806827,67931.6556051186,-6.085330476279327,223.2258740380381,6.2786552804884215,625.9983263132058,250,12.3344167562366
153,1746.9967136038588,418.6017728456141,276.6597915003477,-14.856108702914002,64540.368618028064,-6.02972858211754,216.0751324601281,6.2786552804884215,625.9983263132058,250,12.390018650398387
39,2707.6700738607947,120.05657011034248,276.7001943001602,-14.716297584488968,55992.45608609647,-5.875473773474763,197.1391131949518,6.2786552804884215,625.9983263132058,250,12.544273459041165
619,2655.124156471968,1841.61649450644,276.4437870579344,-14.730977832090762,54548.443726730766,-5.847105889895952,193.7973481883095,6.2786552804884215,625.9983263132058,250,12.572641342619976
100,1792.72843925692,293.5207133741512,276.678249472714,-14.848991193011983,51930.93034284964,-5.79371523595075,187.62338584043547,6.2786552804884215,625.9983263132058,250,12.626031996565178
554,1732.1287877274171,1600.6507482991406,276.48355904530945,-14.863079010876692,49265.28477145016,-5.736502472106664,181.17247338978223,6.2786552804884215,625.9983263132058,250,12.683244760409263
237,1142.5915044614198,704.2627581220607,276.6197452039696,-14.944425970771904,48967.16888253897,-5.7299124665544365,180.4402632282179,6.2786552804884215,625.9983263132058,250,12.689834765961491
564,1422.68503450454,1645.2720510182842,276.47818904273527,-14.907857499477403,48305.59513512318,-5.715143571015294,178.80736530087913,6.2786552804884215,625.9983263132058,250,12.704603661500634
139,2660.9411788507214,379.7279263254314,276.6616903438708,-14.724138120829284,47417.84624413855,-5.695004538553114,176.5986188498708,6.2786552804884215,625.9983263132058,250,12.724742693962813
173,3060.367923189413,487.77811325661816,276.64388022379546,-14.666973851027938,47195.30952037725,-5.6898970749771705,176.04172663215704,6.2786552804884215,625.9983263132058,250,12.729850157538756
629,3018.376298222552,1898.943871416414,276.4337308739234,-14.678827109698377,47011.03886618948,-5.685649599529656,175.57960736152003,6.2786552804884215,625.9983263132058,250,12.734097632986272
512,2109.5825624667086,1421.3064279166467,276.50873225262035,-14.807946272368524,46663.942800975,-5.677603556018247,174.70670461843045,6.2786552804884215,625.9983263132058,250,12.74214367649768
647,2347.624356123705,1961.6901065496236,276.4271596106086,-14.7757897836141,45746.42348383379,-5.656042843345098,172.38366528186594,6.2786552804884215,625.9983263132058,250,12.76370438917083
587,1430.374510975632,1707.3921257095271,276.46888983995257,-14.906995903775996,45098.57899094344,-5.640557123141495,170.72952887827776,6.2786552804884215,625.9983263132058,250,12.779190109374433
425,1412.6069809174392,1198.1139184972594,276.54493751357404,-14.907517744528482,41739.32504515024,-5.55651353315159,161.9591107597539,6.2786552804884215,625.9983263132058,250,12.863233699364336
473,1029.9418894379528,1319.6746896771642,276.52840117926,-14.963158525914016,40666.25931193621,-5.5282355424208784,159.08570923347975,6.2786552804884215,625.9983263132058,250,12.891511690095049
273,2093.364252739091,791.795360166297,276.60267133608664,-14.807714243779811,39205.7683528944,-5.488524902218628,155.11556681985982,6.2786552804884215,625.9983263132058,250,12.931222330297299
467,2229.257927916969,1310.9744682868668,276.5246836804116,-14.79024522918152,39023.30753025634,-5.483460169493992,154.61462903212708,6.2786552804884215,625.9983263132058,250,12.936287063021936
369,274.8972505796822,1054.4868200115836,276.571129478056,-15.070890354072848,36386.16461161309,-5.407490678167768,147.2460925879888,6.2786552804884215,625.9983263132058,250,13.01225655434816
23,1292.1651044095324,84.70508905657181,276.71152954922195,-14.92028876932312,35361.46805836953,-5.376475695276442,144.3153709461774,6.2786552804884215,625.9983263132058,250,13.043271537239486
28,202.24556682014685,99.32879958902856,276.71399604078545,-15.077452412326943,31772.843137803487,-5.260290174957538,133.7277782176649,6.2786552804884215,625.9983263132058,250,13.15945705755839
219,356.15368832318745,633.4610335531388,276.6336278076077,-15.057476525215709,30539.71693387616,-5.2173124967101945,129.9650470710099,6.2786552804884215,625.9983263132058,250,13.202434735805733
612,338.66386345328493,1826.4179128495816,276.45564060635354,-15.064761494979487,29028.1634556239,-5.16219887806797,125.25881576014795,6.2786552804884215,625.9983263132058,250,13.257548354447957
381,2929.9115661774617,1080.7922725029637,276.5560521597583,-14.68826339518017,28563.87107580545,-5.144692638823248,123.7916132433244,6.2786552804884215,625.9983263132058,250,13.27505459369268
305,2777.293970809899,878.8673028624631,276.5867952593399,-14.709441613225977,28544.64816806768,-5.143961714332254,123.7306424836662,6.2786552804884215,625.9983263132058,250,13.275785518183675
579,801.1476184933415,1686.4619595555298,276.4746197178092,-14.99758508561578,28304.95542269212,-5.1348061664532185,122.9688757503746,6.2786552804884215,625.9983263132058,250,13.284941066062709
315,1161.3183927208058,907.1449341589638,276.58939915737466,-14.942556701118155,28080.980716953985,-5.126180656526628,122.2545112155426,6.2786552804884215,625.9983263132058,250,13.2935665759893
399,1445.0188327020353,1126.7715045186474,276.55544397302765,-14.902557066973175,28044.901503399717,-5.124784775972379,122.13920499924292,6.2786552804884215,625.9983263132058,250,13.294962456543548
494,3032.0877615240865,1369.7056232970651,276.5125594196474,-14.674711062259448,27389.401844759297,-5.099106347896307,120.03293512175492,6.2786552804884215,625.9983263132058,250,13.320640884619621
211,2666.822941787156,609.0341791061185,276.6274853347997,-14.724252281369916,27113.41893064353,-5.0881106893766574,119.13962138422475,6.2786552804884215,625.9983263132058,250,13.33163654313927
588,445.4258806816119,1709.8300408508987,276.4726029741373,-15.04892581453047,25973.838161881373,-5.041490303814134,115.40892073772996,6.2786552804884215,625.9983263132058,250,13.378256928701793
74,2596.3879844105622,232.73682819619785,276.6838764444004,-14.7328287647363,25783.713743031894,-5.033513655544012,114.77976495795173,6.2786552804884215,625.9983263132058,250,13.386233576971915
268,1498.2648085336598,777.5466853320123,276.60731156927574,-14.89345617239782,24781.563860353723,-4.990471751831203,111.43059348337948,6.2786552804884215,625.9983263132058,250,13.429275480684725
133,787.7875699239327,373.1954984051728,276.6706403392198,-14.994201135209224,24196.81982146669,-4.964545704764222,109.45020812812146,6.2786552804884215,625.9983263132058,250,13.455201527751704
42,1981.752818844683,124.11298431016196,276.70270245106747,-14.821019333562507,24018.230540057997,-4.956502501079221,108.84142667508496,6.2786552804884215,625.9983263132058,250,13.463244731436706
14,2649.62843593622,44.18359625400623,276.7117523024765,-14.724347374934876,23918.381644538134,-4.951979456470367,108.50024407746588,6.2786552804884215,625.9983263132058,250,13.46776777604556
578,1818.6072519915967,1682.2799792389228,276.47102404504994,-14.850939380486825,23404.081558588543,-4.928378985498821,106.7335299628812,6.2786552804884215,625.9983263132058,250,13.491368247017107
525,1082.2768281956603,1485.892624499846,276.5033822946004,-14.956280902138824,23370.83240945777,-4.926835431144298,106.61876873147588,6.2786552804884215,625.9983263132058,250,13.49291180137163
295,1627.559948297896,852.4281827729523,276.595597066119,-14.875124010911168,23068.949162423087,-4.91271950825558,105.57373957926131,6.2786552804884215,625.9983263132058,250,13.507027724260347
636,2202.5233503790496,1921.0342990771023,276.4338233352697,-14.796546520148716,22016.793375702637,-4.8620351449448185,101.88746685553002,6.2786552804884215,625.9983263132058,250,13.557712087571108
627,440.6273284181736,1886.3992642934927,276.4462672472682,-15.05030774122432,21279.539505183056,-4.825055542015373,99.26240261988076,6.2786552804884215,625.9983263132058,250,13.594691690500554
621,2707.6333986753334,1853.0555653871247,276.44186338656243,-14.723452280030555,21055.400251666724,-4.8135587321594455,98.45725018373648,6.2786552804884215,625.9983263132058,250,13.606188500356481
232,451.5080753778392,684.8872418337545,276.6255510290008,-15.043946191875962,21041.82234063599,-4.812858351982586,98.40836796334622,6.2786552804884215,625.9983263132058,250,13.606888880533342
337,414.1092082826523,977.451235787182,276.58204484607904,-15.050522508934767,20903.919579517213,-4.805719293137706,97.91119936496716,6.2786552804884215,625.9983263132058,250,13.614027939378222
69,670.1414796583086,217.28172733107863,276.69440358337164,-15.010510403514091,20877.077253643656,-4.804324224027849,97.81427830631355,6.2786552804884215,625.9983263132058,250,13.61542300848808
405,844.221565997819,1143.5655146444822,276.55545468754167,-14.989214786431305,20786.092080496197,-4.799582095418737,97.48539098106308,6.2786552804884215,625.9983263132058,250,13.62016513709719
316,1828.432500161949,906.9165369691564,276.58662330737576,-14.846387603249717,20784.10882776417,-4.799478497685316,97.47821580679089,6.2786552804884215,625.9983263132058,250,13.620268734830612
584,1721.8183308477105,1700.8801375499097,276.4686517776042,-14.864964673047728,20128.711497435757,-4.764689916353299,95.09231187710488,6.2786552804884215,625.9983263132058,250,13.65505731616263
557,1591.6354878265995,1607.9666169248092,276.48305213459673,-14.883358596127504,20064.99047716218,-4.76124737320463,94.8587553260772,6.2786552804884215,625.9983263132058,250,13.658499859311299
444,283.1617159489708,1242.7937362565626,276.5429877006381,-15.070453691723188,19506.05738508067,-4.730573722163085,92.79779999644066,6.2786552804884215,625.9983263132058,250,13.689173510352843
4,232.08167660128163,35.04091984010857,276.7234634512866,-15.072884892289828,18870.91712989763,-4.694632496985379,90.4284988462729,6.2786552804884215,625.9983263132058,250,13.725114735530548
502,1964.6001308032933,1396.9235267025897,276.51297460342533,-14.828749758152313,18690.945603488828,-4.684228162209585,89.75173238587467,6.2786552804884215,625.9983263132058,250,13.735519070306342
