ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Mag_Inst,Std_Fundo,Area_Ap,Exptime,Mag_R_Calibrada
628,2008.2346609130104,1328.3908041399377,276.5308412196153,-14.793650964823268,2067520.9240910008,-10.181029661960933,3.344222022651961,710.3422573430399,175,8.114190023985708
656,1553.5266258268996,1376.1919972345966,276.5256085523883,-14.859468867529252,535329.211523656,-8.713957234162017,3.344222022651961,710.3422573430399,175,9.581262451784625
185,3052.9592104430003,409.0928701560311,276.6636697096946,-14.638984189452604,423262.9058770685,-8.458930401354491,3.344222022651961,710.3422573430399,175,9.83628928459215
782,398.4619627208388,1648.5934858428377,276.4897800121988,-15.027221876238809,276668.5856421321,-7.997304503126184,3.344222022651961,710.3422573430399,175,10.297915182820457
452,126.78805106059652,983.7579165574568,276.59025982578925,-15.063771461162307,258961.68862527987,-7.925493674111554,3.344222022651961,710.3422573430399,175,10.369726011835088
261,95.558304244145,564.1539243545348,276.6531052578435,-15.066592399482026,227568.3480773061,-7.78518452071037,3.344222022651961,710.3422573430399,175,10.510035165236271
76,1724.2240934599831,195.6095380244763,276.70118873436707,-14.829961633258256,218631.7046929668,-7.741687730859131,3.344222022651961,710.3422573430399,175,10.55353195508751
514,490.3592945118244,1116.6083827825903,276.5688619802468,-15.011840836011936,210267.81019680036,-7.699336857861059,3.344222022651961,710.3422573430399,175,10.595882828085582
314,823.8626408821387,683.9524002728725,276.6320825527295,-14.961959848384636,197269.2348765304,-7.63005327862748,3.344222022651961,710.3422573430399,175,10.66516640731916
910,1250.7157993721246,1972.200502262176,276.437894488751,-14.905562693915233,172437.20684520225,-7.483982327019738,3.344222022651961,710.3422573430399,175,10.811237358926903
481,1272.96585357888,1050.536647924402,276.57541676516445,-14.89863333241252,159657.2327773879,-7.4003763725095215,3.344222022651961,710.3422573430399,175,10.89484331343712
519,1622.1749659860836,1125.3417851806046,276.5627736897643,-14.84853818050087,158440.8185730091,-7.392072572006826,3.344222022651961,710.3422573430399,175,10.903147113939816
776,101.22768256357494,1614.755866200971,276.49608703326004,-15.069966283447172,128673.5381563119,-7.16612798574903,3.344222022651961,710.3422573430399,175,11.12909170019761
350,1789.6045676660942,774.4265025430315,276.61446548906866,-14.822927407958217,126597.14937026164,-7.148464694882874,3.344222022651961,710.3422573430399,175,11.146754991063768
541,472.8263151191186,1168.9555950346016,276.56111575262776,-15.014580822223172,115884.96693034311,-7.0524726312077135,3.344222022651961,710.3422573430399,175,11.242747054738928
493,925.981334199576,1066.442281786844,276.57450894464546,-14.948774969718896,114853.84174254588,-7.042768694475488,3.344222022651961,710.3422573430399,175,11.252450991471154
868,1152.0524226787672,1864.7343786842955,276.45434826212505,-14.919366754007362,114768.96589310432,-7.041966049583249,3.344222022651961,710.3422573430399,175,11.253253636363393
902,1404.4871916920197,1956.2624308615325,276.4396349996987,-14.88331528352531,102474.41852431015,-6.918943534926143,3.344222022651961,710.3422573430399,175,11.376276151020498
332,1235.388012380978,725.3682536835114,276.62414252210215,-14.902728241535575,98887.55547700736,-6.880258981197283,3.344222022651961,710.3422573430399,175,11.414960704749358
123,1095.9440887094242,303.1820600531004,276.687809000963,-14.921122149654538,93494.61283855856,-6.81937134712625,3.344222022651961,710.3422573430399,175,11.475848338820391
32,906.0653235153804,95.03136838404365,276.71972866865144,-14.947677082962135,93186.9294728262,-6.815792382991576,3.344222022651961,710.3422573430399,175,11.479427302955065
