ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Mag_Inst
8,1294.4476318434379,32.69857108050021,276.7192768863354,-14.919740743592337,9701.048563680204,-3.9721966750186564
10,2980.8567543280537,33.55658839030499,276.71191103934507,-14.676516120392053,1006.861396713095,-1.5125742038954948
11,232.05481804774652,35.044533445227316,276.7234630264385,-15.072888777986405,19052.09300710651,-4.705006710698882
12,529.3629814443274,34.818228360920784,276.7222292235126,-15.030039585149307,8435.850322832528,-3.8204721419580103
13,1100.947231160419,35.21280528091999,276.71972940620986,-14.947648593231749,169184.13296485465,-7.076049053432406
14,3024.79578674891,34.20428330362497,276.71162532986483,-14.670179377903208,2317.0950897619186,-2.4175096205327553
15,2288.289049058576,35.31586455243651,276.7146267183957,-14.776432163561662,7106.272362477088,-3.634254600069658
17,1006.0524568602763,37.24067871409018,276.7198325016382,-14.961337398420612,109283.42154707527,-6.601535687935334
18,598.9762081477008,38.34878829733747,276.72140542254044,-15.02002085680862,10283.95270962437,-4.03555015554072
19,29.366454121734034,40.04266679681813,276.7235803664462,-15.102117962048167,110697.4762811329,-6.615494277814101
20,782.778763674471,40.848118597726746,276.7202480198427,-14.993538035771392,21869.919415769284,-4.854767935302292
21,1338.8581915211057,42.4560068143888,276.7176315222822,-14.913378800210669,9936.176960625278,-3.9981982722416234
22,2011.0172784157223,43.53222166887216,276.71459170389926,-14.816457733403823,2865.8078636645805,-2.648267653393491
23,2649.6296441897084,44.183244607019134,276.71175234969417,-14.72434719913409,23603.479799459572,-4.937590064802117
24,753.65785660118,47.640496420680506,276.7193589300837,-14.997764128272259,5053.942130456911,-3.2642256402618774
25,1912.4051727141373,47.324694523834324,276.7144490958593,-14.830695414680255,4561.184313607519,-3.1528440334921704
26,493.9726304750215,53.45525600915607,276.71959917695443,-15.035218278328394,3848.4050460777944,-2.968351916892166
27,1989.020770064,53.40317342532162,276.71321427891337,-14.819671908651626,21340.562476852094,-4.828164633352862
28,3046.8165603948455,58.52016701251752,276.70790703476945,-14.667106252321728,9546.478161000996,-3.954757936771604
29,2164.822136935441,57.31940967659222,276.7118763490815,-14.794333702332112,4314.6996714078705,-3.092526407422716
30,2057.6661360444355,58.47162529473062,276.7121642124099,-14.809793290079844,1123.8737194719724,-1.6319437679294118
31,819.2128146941777,62.018174090508175,276.7169340121905,-14.988374940041403,2980.7660614626366,-2.690969710247652
32,2772.8946953906025,61.197715446651806,276.708686469093,-14.70663731876818,14012.39848513034,-4.371431176581285
33,288.43067676767015,64.5206844141681,276.7188238738823,-15.064887258452544,2220.2773396305856,-2.3711680445683623
34,852.6588473249914,70.43648355885503,276.7155353012583,-14.983589042741295,2056.2458278028644,-2.2878375635592465
35,519.5498466551596,72.22114557824997,276.71668990639847,-15.03161031295038,1640.4226688696654,-2.042539383663972
36,898.6683493494369,72.02965596715016,276.7151012204904,-14.976963439977418,4214.918587935972,-3.067122954694746
37,1143.30552203495,73.17255567763452,276.7138859231257,-14.9417015380578,4939.349766358791,-3.239324429845059
38,1668.1089008191955,74.88130553158479,276.7113865354495,-14.86604111126694,6433.263261132583,-3.526228288080655
39,1634.6011263226683,80.85401043104899,276.71063926795705,-14.87089806378775,2349.0235540886642,-2.4323684071939407
40,1292.165378488761,84.70549466288855,276.7115294875515,-14.920288731513546,35418.59370780358,-5.378228262248843
41,463.9885558599677,86.84503840034398,276.7147445082942,-15.039679196740341,1412.6155743797426,-1.8802099536406505
42,2554.1103264762446,85.94984056561708,276.7059373711323,-14.738304261417671,2242.875343523745,-2.3821628199632405
44,1042.6521554692217,91.98897791616469,276.7115089338448,-14.956291055290425,2084.1975407648715,-2.3024971761150703
45,2403.2628526742724,92.46256450363157,276.7056141453886,-14.760091221799257,9941.211248025531,-3.9987482346567154
46,1604.9064500510392,97.21352954079799,276.7083266236383,-14.87524890016135,1322.4568903902546,-1.8086037877046346
47,1808.8213509923023,96.26705639623177,276.70759502276485,-14.845840318589337,5722.776758339838,-3.3991669900801575
48,1390.4832753606765,97.30709909209561,276.70922965609003,-14.906166444552245,6166.822840759298,-3.4803036590233387
49,202.23610915788393,99.31681316056626,276.7139978699368,-15.07745372536334,32129.422708344122,-5.2724072841973815
50,2468.4153766796016,99.60203801845036,276.7042702747824,-14.750723691541909,6975.614472187241,-3.614106153390485
52,1756.2839683063694,103.82630807794685,276.7066927062661,-14.85344837841563,28658.25289755664,-5.148274255399409
53,2854.167719964598,104.10290944926552,276.7019426730635,-14.695095323290584,12626.410311092855,-4.258349723735854
54,319.4120201192323,106.32302498419165,276.71245354622357,-15.060596619140174,7116.892976680014,-3.635876065787746
55,519.6982890791471,107.91549045956744,276.7113630122551,-15.031737940623044,17047.34456409933,-4.584291826527817
