ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Erro_Fluxo,Mag_Inst,Erro_Mag_Inst,Std_Fundo_Local,Area_Ap,Exptime
628,2008.2346609130102,1328.3908041399375,276.53084121961535,-14.793650964823268,2067520.9240910008,1448.1186584193485,-10.181029661960931,0.000760438459957606,5.143118014857634,710.3422573430399,175
656,1553.5266258268996,1376.1919972345966,276.5256085523883,-14.859468867529253,535329.211523656,739.236226035356,-8.713957234162017,0.0014992433689957904,3.159225841552749,710.3422573430399,175
452,126.78805106059653,983.7579165574568,276.59025982578925,-15.063771461162307,258961.68862527987,527.0708784832229,-7.9254936741115545,0.0022097510091435703,4.108493543871812,710.3422573430399,175
261,95.558304244145,564.1539243545348,276.6531052578435,-15.066592399482026,227568.34807730606,490.59285954424496,-7.78518452071037,0.0023405569012886077,3.427440923334717,710.3422573430399,175
76,1724.2240934599831,195.6095380244763,276.70118873436707,-14.829961633258257,218631.70469296677,487.50446473217715,-7.741687730859131,0.0024208913254508027,4.128817397325627,710.3422573430399,175
514,490.3592945118244,1116.6083827825905,276.5688619802468,-15.011840836011936,210267.81019680033,472.07939494219863,-7.699336857861059,0.0024375419071946203,3.358547256171477,710.3422573430399,175
314,823.8626408821387,683.9524002728725,276.6320825527295,-14.961959848384637,197269.23487653042,458.07467707885075,-7.63005327862748,0.0025210807818856554,3.354814835978751,710.3422573430399,175
910,1250.7157993721246,1972.2005022621756,276.437894488751,-14.905562693915233,172437.20684520225,426.0083298313698,-7.4839823270197385,0.0026822357666296593,2.8467184024454193,710.3422573430399,175
481,1272.96585357888,1050.5366479244021,276.57541676516445,-14.89863333241252,159657.2327773879,410.98269139449695,-7.4003763725095215,0.0027947616295539404,2.8785840572654227,710.3422573430399,175
519,1622.1749659860836,1125.3417851806046,276.5627736897643,-14.84853818050087,158440.8185730091,409.9632320412121,-7.392072572006826,0.0028092324000588554,2.9370422273060233,710.3422573430399,175
776,101.22768256357494,1614.755866200971,276.49608703326004,-15.069966283447172,128673.5381563119,371.4497319100819,-7.16612798574903,0.0031341562508747528,2.8866371706467784,710.3422573430399,175
350,1789.6045676660942,774.4265025430315,276.61446548906866,-14.822927407958217,126597.14937026164,368.94527638321586,-7.148464694882874,0.003164082987348467,2.920898099224561,710.3422573430399,175
541,472.8263151191186,1168.9555950346016,276.56111575262776,-15.014580822223172,115884.96693034313,370.43868437220146,-7.0524726312077135,0.0034705561064244618,4.372346311657999,710.3422573430399,175
493,925.9813341995759,1066.442281786844,276.57450894464546,-14.948774969718896,114853.84174254589,355.66341855766007,-7.042768694475488,0.0033620449056778077,3.2295671355606275,710.3422573430399,175
868,1152.0524226787672,1864.7343786842953,276.45434826212505,-14.919366754007362,114768.96589310432,352.623029336265,-7.041966049583249,0.0033357695607971437,2.9286424670036144,710.3422573430399,175
902,1404.4871916920195,1956.2624308615323,276.4396349996987,-14.88331528352531,102474.41852431017,333.83513581578956,-6.918943534926143,0.0035369296276535536,2.8349857715538875,710.3422573430399,175
32,906.0653235153803,95.03136838404365,276.71972866865144,-14.947677082962135,93186.92947282619,324.1922641854302,-6.815792382991576,0.003777091306874314,3.266946970178923,710.3422573430399,175
53,3031.164669165786,159.23654884970375,276.7010562093307,-14.641067372820045,90508.61196365958,361.23854758294607,-6.7841296398429085,0.004333252743598331,5.985020525166814,710.3422573430399,175
145,2558.8840526762046,348.1641707589027,276.6748537242911,-14.710075880057413,88833.98055572645,316.5127358302511,-6.763852685325636,0.0038683156506235375,3.188207534026645,710.3422573430399,175
405,2467.3355731077413,877.3510048584994,276.59624264487564,-14.725515191421303,86978.50039938727,312.4194770808579,-6.7409346675375,0.0038997433240304173,3.085552663949881,710.3422573430399,175
438,767.6865913813748,944.5859054676794,276.59338350557186,-14.971126278391575,79675.4742467177,302.65022907633266,-6.64571652121912,0.0041240715140357116,3.2680425920458642,710.3422573430399,175
268,319.7760401768706,574.7721142267845,276.65055488039894,-15.034274073880963,78607.89306784177,299.7578502861311,-6.6310702683097436,0.004140132566265053,3.1742037498197515,710.3422573430399,175
336,551.752823960107,738.8315537128359,276.6250447752225,-15.001457330354349,78069.82908452605,296.44509925208706,-6.623612949735293,0.004122597013880024,2.96449299852228,710.3422573430399,175
100,90.03542601788433,261.39627232195915,276.698385777549,-15.066164150514357,75604.15875947993,307.33533721081295,-6.588769091793165,0.004413434142839935,4.109455947348166,710.3422573430399,175
161,2320.578683842455,370.1953810795374,276.6725750519055,-14.744580776005085,72893.77167988906,289.9934767706778,-6.549130933626116,0.004319243063900738,3.167927689722573,710.3422573430399,175
87,1165.3035972204302,229.2384783219935,276.69855947698306,-14.910802843848685,71984.43351789465,299.4506050178457,-6.53550135657794,0.004516442041417954,3.980489681438322,710.3422573430399,175
220,1550.935815981787,477.8580558166979,276.65976960015206,-14.85615586000946,68330.2283531932,288.1454148879184,-6.478937058525272,0.004578346721260349,3.628618840378635,710.3422573430399,175
936,2035.2439771324723,2017.5479743589115,276.4278780680064,-14.792561276411437,65314.4338741636,271.1168839390723,-6.429927795453773,0.00450668532869405,2.708687915641197,710.3422573430399,175
518,626.0586808424094,1124.9185711003981,276.56704474364926,-14.992292614600082,62918.93403236492,273.9046884028495,-6.38935826886076,0.004726372510475226,3.293050991759491,710.3422573430399,175
938,2151.165107017786,2018.9644842337282,276.4271885987769,-14.77584194194176,61283.16745979583,265.48028911649993,-6.36075788826766,0.0047032808818649186,2.870336998543782,710.3422573430399,175
33,811.3196179710988,97.03125619367772,276.7198383567112,-14.961364740568934,59534.98195479752,264.35442290526424,-6.329335444102057,0.004820856369221042,3.04475894870053,710.3422573430399,175
127,330.46989924560893,307.2514771483592,276.6904929466861,-15.031644106847379,59192.36887637223,271.8667288818569,-6.323069180205384,0.00498655000889571,3.631283937080828,710.3422573430399,175
90,199.73472177736903,236.65516956152945,276.7016100383627,-15.050228516690712,58798.524449492805,269.17471593389234,-6.315820947238057,0.004970243587327774,3.497748734058061,710.3422573430399,175
805,1227.0735175967918,1702.9176561083405,276.4781941754792,-14.90789487970501,58646.274216014426,262.9403471001027,-6.3130059450387535,0.004867731815239981,3.0657347698398643,710.3422573430399,175
726,590.76164155792,1522.57460128401,276.5077935497675,-14.99897834518079,58297.47651962127,259.72188450682756,-6.306529268727134,0.004836916910359855,2.8643014020618094,710.3422573430399,175
515,347.75134430401033,1117.4395404474185,276.5693435273162,-15.03242218519999,55725.528928385,257.0478643877673,-6.2575403766646716,0.005008061327232107,3.0447290406864345,710.3422573430399,175
479,118.73958288607973,1047.0863006754307,276.5808306064261,-15.06518601464048,54654.499113504135,262.1378746602963,-6.236469674590641,0.005207313123986959,3.5492679595672456,710.3422573430399,175
615,409.5944076710494,1307.593507591299,276.54067183786685,-15.024259254978062,51482.700941601535,248.68723367014317,-6.1715581864361955,0.00524447483635219,3.04687082044045,710.3422573430399,175
