RA,DEC,Fluxo,Mag_Inst,Mag_B_Calibrada
276.7157671497309,-14.657008556249917,5966.960512193729,-3.4445328878316466,15.291593243139035
276.71894478277045,-14.82017573435179,17549.96417942251,-4.6158405642710925,14.12028556669959
276.71798959303345,-14.797783523207459,15801.946065000797,-4.501926416156374,14.234199714814308
276.71445609767653,-14.681826212803255,55.039675543543126,1.6431603589595747,20.379286489930255
276.72435388033244,-15.030083714522803,1504.1061705808897,-1.9483462106976954,16.787779920272985
276.7183766871777,-14.830821654394882,189.23748118151707,0.3023321246793817,19.038458255650063
276.7125164552853,-14.673383461734272,26.972173663481954,2.4175601535070577,21.15368628447774
276.72137889155755,-14.969667327993687,1011.4412153889571,-1.5175015953107045,17.218624535659977
276.7192972407099,-14.919734837205496,4714.158782887913,-3.188660494309704,15.547465636660977
276.72345939920723,-15.07289478938887,7982.74010186972,-3.7605299532070298,14.975596177763652
276.7114433760131,-14.662252512619746,393.8793424830692,-0.4935579889815752,18.242568141989107
276.7222062249184,-15.030024388219948,3287.2251711967037,-2.7972236127701358,15.938902518200546
276.7197232906167,-14.947650596024612,82815.3179559138,-6.300426662324632,12.43569946864605
276.71460762892576,-14.776389389411362,2886.177428020863,-2.655957542997581,16.080168587973102
276.7198218085113,-14.961338931287756,52606.45004298316,-5.807747468283191,12.928378662687491
276.72139483317375,-15.02001955763271,5177.961844785539,-3.290547093055187,15.445579037915495
276.7202379239684,-14.993537383294978,12412.472798516326,-4.239795752729617,14.496330378241066
276.7235022941639,-15.10210081096356,16065.151888139284,-4.519862068191086,14.216264062779596
276.7176306586006,-14.913371824605356,4209.022759911451,-3.0656031637265664,15.670522967244116
276.71456813372805,-14.816467878173022,3434.303279720887,-2.844746589841511,15.89137954112917
276.71173013612423,-14.724351547920138,7727.962877588216,-3.7253125463567063,15.010813584613976
276.7193402171167,-14.997754525118722,4576.066258815859,-3.1563807387339073,15.579745392236774
276.7144390130044,-14.830747883919127,1870.6368825894824,-2.1851237105752968,16.551002420395385
276.722296307843,-15.099717037491423,429.9374747585971,-0.588663231561098,18.147462899409582
276.72221925284384,-15.103748574102156,2917.9781162009895,-2.667855054608286,16.068271076362397
276.71319388016275,-14.819696451330287,8712.579422791561,-3.8555168535665327,14.88060927740415
276.70853428372874,-14.66412832108642,155.2903762285241,0.5169886663309053,19.25311479730159
276.712180304478,-14.82213350063242,1802.6173022486328,-2.1449088165305037,16.59121731444018
276.7169449186978,-14.988361229504434,1452.2177670652527,-1.9102293428241592,16.825896788146522
276.708673491635,-14.706686815664145,3152.5365332025904,-2.751800298570974,15.984325832399708
276.7069896141039,-14.660268955617324,140.7638420594085,0.6236222413896328,19.359748372360315
276.7150684971042,-14.976974833182156,1779.246700962016,-2.13074040142228,16.605385729548402
276.71387287491564,-14.941681357202427,2928.6159417390154,-2.6718060335740117,16.06432009739667
276.71139010942494,-14.866043156274936,3044.7201804627184,-2.714018442692039,16.022107688278645
276.7091952669655,-14.790990650265972,49.46526397849084,1.759099193943753,20.495225324914436
276.7134770135177,-14.978888494245538,1095.5283549455053,-1.6042090349261684,17.131917096044514
276.71151792332745,-14.920291295186402,16662.23806797657,-4.559483316628779,14.176642814341903
276.7159994822475,-15.0915327981481,96.42157326873712,1.034414488184206,19.770540619154886
276.705583927688,-14.760088937698022,3983.5383140620906,-3.0058224748413647,15.730303656129317
276.7147070429312,-15.084784996398998,110.7324334576333,0.88416291147435,19.62028904244503
276.7075803620584,-14.845838879452852,3570.592479819483,-2.887000693227045,15.849125437743638
276.70922141067877,-14.906169753081523,3680.3353809730907,-2.9198684702952598,15.816257660675422
276.7140065917028,-15.077433433929258,14595.93086784309,-4.415729472583399,14.320396658387283
276.70910437774813,-14.916537846806639,146.47581133522908,0.5804352410293886,19.31656137200007
276.70669265811455,-14.853457136963877,12988.734318666684,-4.28906706208415,14.447059068886531
276.7019267243681,-14.69509847304967,3891.8121424921846,-2.9805296501626577,15.755596480808023
276.7124301621644,-15.060586492504628,4613.635864137112,-3.165258264339313,15.57086786663137
276.71135021392,-15.031734821772938,8948.555435584945,-3.8845323104674145,14.851593820503268
276.70735961769503,-14.900384552699041,1942.6380315401111,-2.2261296952731287,16.509996435697552
276.7096866476544,-14.999301024766279,1824.5249029302358,-2.1580244668801187,16.578101664090564
276.70980223256345,-15.009024017952738,3285.4050779520403,-2.7966222884578373,15.939503842512845
276.707548865809,-14.930674851833857,1727.5628245919725,-2.0987346030628524,16.63739152790783
276.7041580607213,-14.830932111683504,3806.317263218538,-2.956412439985786,15.779713690984895
276.7001840382078,-14.716330386889094,18323.487704122083,-4.662670331028852,14.07345579994183
276.71033578843986,-15.068850974583642,1982.4084804890808,-2.248132845549965,16.487993285420718
276.70545594386914,-14.905143034061016,2017.5272148383592,-2.2671984826222875,16.468927648348394
276.7026937273954,-14.821014710490607,10405.058232809555,-4.048261266122727,14.687864864847956
276.70941011134545,-15.06269317123929,937.8876376531334,-1.4355270069162591,17.300599124054422
276.70772822820584,-15.006686437109208,2729.312102965174,-2.5952829809660205,16.140843150004663
276.70298156278824,-14.845969891693766,5351.954769613883,-3.3264310644952433,15.40969506647544
276.70969885833154,-15.079175512323369,851.3180789137623,-1.3303796191516963,17.405746511818986
276.70877817432336,-15.051196647280047,4321.006854132582,-3.094112366332185,15.642013764638497
276.70697017283635,-14.99369208935157,9607.693776183543,-3.9616978594378867,14.774428271532795
276.70529183966727,-14.939812224726408,6809.905469534395,-3.5880026867565955,15.148123444214086
276.708460299912,-15.077128088865463,1245.1830571799146,-1.7432329851704438,16.992893145800238
276.7011487063441,-14.82995491935702,208604.93652776454,-7.3034614322350695,11.432664698735612
276.70896210796803,-15.097744613849917,228.36686425980588,0.09826730025326763,18.83439343122395
276.70071736799997,-14.852916877493294,3099.0353573545435,-2.7332163063143513,16.00290982465633
276.7056620454263,-15.026506945108597,2314.268004544574,-2.4161841061676976,16.319942024802984
276.70379891868777,-14.962329030739154,1589.4661848183532,-2.0082782106407997,16.727847920329882
276.70602986644207,-15.103309500561444,103.70397063234122,0.955361559089783,19.691487690060466
276.7006040394482,-14.921351051606708,9347.550888800302,-3.931894573734707,14.804231557235974
276.69924969995566,-14.880137524173698,1238.5246264680172,-1.7374115943060926,16.99871453666459
