ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Erro_Fluxo,Mag_Inst_B,Erro_Mag_Inst,Std_Fundo,Area_Ap,Exptime,Mag_Inst_R,Mag_Ap_B,Mag_Ap_R,Cor_B_R,Mag_R_Intrinseca,Cor_BR_Intrinseco
639,2079.998889890516,1317.601585480415,276.5308552450707,-14.793608386376132,4214102.997174373,2059.677275058669,-9.616384739096889,0.0005306447467066,4.248347012311862,993.1466590310956,600,-10.181029661960933,8.384151999692525,7.521306145490497,0.8628458542020283,5.260120644925287,-0.8765276077712096
667,1625.3348835816164,1365.5093880319178,276.5256258391819,-14.859411265283953,710988.3666627521,859.7417326624799,-7.684278110972529,0.0013128507341589,4.248347012311862,993.1466590310956,600,-8.713957234162017,10.316258627816886,8.988378573289413,1.3278800545274727,6.727193072724203,-0.41149340744576524
284,167.79783480070907,553.8153839624105,276.6531130231905,-15.066614814003875,537720.2248573983,752.2550797941675,-7.381012802962807,0.0015188629744196,4.248347012311862,993.1466590310956,600,-7.78518452071037,10.619523935826606,9.91715128674106,0.7023726490855466,7.65596578617585,-1.0370008128876913
88,1796.0125434048225,184.96863891561463,276.7012187470848,-14.829966690117436,434406.0168694115,680.1275594240706,-7.149361453908423,0.0016998256529413,4.248347012311862,993.1466590310956,600,-7.741687730859131,10.851175284880991,9.9606480765923,0.8905272082886917,7.69946257602709,-0.8488462536845462
766,173.7328257722898,1603.8391063636925,276.4960679356591,-15.070023592083398,308876.56455103995,580.5549455217576,-6.779084269654757,0.0020406485201269,4.248347012311862,993.1466590310956,600,-7.16612798574903,11.221452469134658,10.5362078217024,0.685244647432258,8.27502232113719,-1.05412881454098
526,997.8209487432758,1056.1287404452237,276.57449969474766,-14.948745016031056,221533.5087605844,499.7008995182173,-6.418220439368142,0.0024489535223912,4.248347012311862,993.1466590310956,600,-7.042768694475488,11.582316299421272,10.659567112975942,0.9227491864453299,8.398381612410732,-0.8166242755279081
553,1693.884219063184,1114.7238931189368,276.5627929546308,-14.848495090174628,220044.879529468,498.20915261383857,-6.410900041371571,0.0024581607086222,4.248347012311862,993.1466590310956,600,-7.392072572006826,11.589636697417843,10.310263235444605,1.279373461973238,8.049077734879395,-0.45999999999999996
548,562.5097535556497,1106.287204945079,276.5688385214191,-15.011825662405188,219946.4731660856,498.1103827313949,-6.410414380221052,0.0024587729675624,4.248347012311862,993.1466590310956,600,-7.699336857861059,11.590122358568362,10.00299894959037,1.587123408977991,7.741813449025161,-0.15225005299524685
887,1322.5075574137095,1961.1403980601708,276.43791730288604,-14.90555243340815,218898.59861674684,497.0574200587674,-6.40522932712744,0.0024653206752714,4.248347012311862,993.1466590310956,600,-7.483982327019738,11.595307411661974,10.218353480431691,1.3769539312302825,7.957167979866481,-0.3624195307429554
485,199.06395661530613,973.4193333637644,276.5902324568379,-15.063800633429208,211805.10214753944,489.86996475214784,-6.369462917952955,0.0025110434797785,4.248347012311862,993.1466590310956,600,-7.925493674111554,11.631073820836459,9.776842133339876,1.8542316874965827,7.515656632774666,0.11485822552334479
515,1344.7349568162458,1040.1449602288274,276.5754175826093,-14.898588937369547,198472.2446938362,476.0669332274268,-6.298871327870414,0.002604222420129,4.248347012311862,993.1466590310956,600,-7.4003763725095215,11.701665410919,10.301959434941908,1.399705975977092,8.040773934376698,-0.33966748599614593
350,895.6867732571653,673.6333076530725,276.6320977567383,-14.961938765025256,187949.9588841,464.8843287343972,-6.239727461650033,0.002685421793671,4.248347012311862,993.1466590310956,600,-7.63005327862748,11.76080927713938,10.07228252882395,1.6885267483154305,7.8110970282587395,-0.05084671365780746
294,391.8960640868482,564.4396283006728,276.65057028967226,-15.03427362038377,180942.63552544956,457.2855953823394,-6.1984741534314045,0.0027438252430935,4.248347012311862,993.1466590310956,600,-6.631070268309744,11.802062585358009,11.071265539141685,0.730797046216324,8.810080038576475,-1.008576415756914
850,1223.8904322637525,1853.7551073315844,276.454368885489,-14.919351674420838,180292.17747216672,456.57382501726687,-6.194564083881114,0.0027494382106387,4.248347012311862,993.1466590310956,600,-7.041966049583249,11.805972654908299,10.660369757868182,1.145602897040117,8.399184257302972,-0.5937705649331209
37,977.9302056858638,84.54823322074633,276.7197860550704,-14.94766490870182,164899.41547346336,439.3937820363352,-6.0976696644999855,0.002892974652379,4.248347012311862,993.1466590310956,600,-6.815792382991576,11.902867074289428,10.886543424459854,1.016323649829575,8.625357923894644,-0.723049812143663
173,2392.5145693215472,359.4997605161218,276.672550256302,-14.744616761990228,164622.40608405118,439.0784511938411,-6.0958442364141145,0.0028957630118573,4.248347012311862,993.1466590310956,600,-6.549130933626116,11.9046925023753,11.153204873825313,0.7514876285499863,8.892019373260103,-0.9878858334232516
436,2539.2809123047605,866.4907708318174,276.5962322970414,-14.725518910816684,162160.67870233842,436.26615605736544,-6.0794857574698415,0.002920894075073,4.248347012311862,993.1466590310956,600,-6.7409346675375,11.921050981319572,10.96140113991393,0.9596498414056427,8.70021563934872,-0.7797236205675953
156,2630.9468230047696,337.2100401285351,276.6748329885376,-14.710138844026767,160617.82016757783,434.4943042046799,-6.06910619294653,0.0029369746494059,4.248347012311862,993.1466590310956,600,-6.763852685325636,11.931430545842883,10.938483122125794,0.992947423717089,8.677297621560584,-0.746426038256149
572,544.9531718749676,1158.6074122160892,276.5610907451397,-15.014574841189914,158362.22477378033,431.8908484704341,-6.053750859964807,0.0029609579863769,4.248347012311862,993.1466590310956,600,-7.0524726312077135,11.946785878824606,10.649863176243716,1.2969227025808898,8.388677675678506,-0.4424507593923481
909,2107.087670722317,2006.6255388590996,276.4278670234085,-14.792515336750158,151588.7560215122,423.9766930389491,-6.006289346626112,0.0030365807314037,4.248347012311862,993.1466590310956,600,-6.429927795453773,11.994247392163302,11.272408011997657,0.7218393801656457,9.011222511432447,-1.0175340818075922
116,162.3038890205547,250.8487678174606,276.698444520295,-15.0661787495718,140618.18879993737,410.83533078189424,-5.924725623555185,0.0031720215033099,4.248347012311862,993.1466590310956,600,-6.588769091793165,12.07581111523423,11.113566715658266,0.9622443995759635,8.852381215093056,-0.7771290623972744
387,1861.336800315839,763.927875944001,276.614468146793,-14.822899189607805,136744.75718482933,406.093877574583,-5.894398585058282,0.0032242268878125,4.248347012311862,993.1466590310956,600,-7.148464694882874,12.106138153731132,10.553871112568556,1.552267041162576,8.292685612003346,-0.18710642081066187
105,1237.1012039511493,218.71934281032185,276.69861035033944,-14.910784598058386,135585.59929290647,404.6641564453634,-5.885155786663771,0.0032403431997495,4.248347012311862,993.1466590310956,600,-6.53550135657794,12.115380952125644,11.166834450873491,0.948546501252153,8.905648950308281,-0.7908269607210849
552,698.1073727256423,1114.6301833416849,276.56702087440885,-14.992271236116313,125023.1251220837,391.3957145151372,-5.797097750241752,0.0033988778222759,4.248347012311862,993.1466590310956,600,-6.38935826886076,12.203438988547662,11.312977538590669,0.8904614499569927,9.051792038025459,-0.8489120120162452
835,1895.803120541974,1810.5548536358856,276.45802449377146,-14.822196941542408,120759.69599640252,385.9108397222519,-5.75942690166144,0.0034695632117103,4.248347012311862,993.1466590310956,600,-6.157334097994852,12.241109837127974,11.545001709456578,0.6961081276713958,9.283816208891368,-1.043265334301842
881,1476.266990214197,1945.273157888177,276.4396508337458,-14.88329227886032,120044.97710352852,384.98371046352025,-5.752981856829894,0.0034818350966052,4.248347012311862,993.1466590310956,600,-6.918943534926143,12.24755488195952,10.783392272525287,1.4641626094342328,8.522206771960077,-0.2752108525390051
732,662.8685322906697,1511.8738881346228,276.5077898165895,-14.998978021274375,111699.02754145418,373.9873096245183,-5.674745354385448,0.0036351079413708,4.248347012311862,993.1466590310956,600,-6.306529268727134,12.325791384403967,11.395806538724296,0.9299848456796713,9.134621038159086,-0.8093886162935666
106,271.8769739201852,226.0663392694774,276.7016802060997,-15.05024258121066,111530.03736103926,373.7613109723508,-5.67310149324886,0.0036384158467469,4.248347012311862,993.1466590310956,600,-6.315820947238057,12.327435245540553,11.386514860213373,0.9409203853271801,9.125329359648163,-0.7984530766460578
38,883.2015510932939,86.624747995733,276.71988703328424,-14.961355014684262,108746.81289683389,370.0193145169114,-5.645663218300658,0.0036941769516696,4.248347012311862,993.1466590310956,600,-6.329335444102057,12.354873520488756,11.373000363349373,0.9818731571393826,9.111814862784163,-0.7575003048338553
513,191.09174995450067,1036.7190893601712,276.58080024258186,-15.06520994302258,103084.5343595348,362.2871990262227,-5.587605657857525,0.0038156568725518,4.248347012311862,993.1466590310956,600,-6.236469674590641,12.41293108093189,11.46586613286079,0.9470649480711,9.20468063229558,-0.792308513902138
772,310.50633215074777,1638.0632990704014,276.490385780351,-15.050398403499075,103032.66780475306,362.2156098561797,-5.5870592367248895,0.0038168233046831,4.248347012311862,993.1466590310956,600,-6.014898609424568,12.413477502064524,11.687437198026862,0.726040304037662,9.426251697461652,-1.013333157935576
472,839.6731462463893,934.2955405326142,276.5933774471546,-14.971089405189629,100703.33610405528,358.9858163253618,-5.5622315193321645,0.0038702878758824,4.248347012311862,993.1466590310956,600,-6.64571652121912,12.438305219457249,11.05661928623231,1.3816859332249383,8.7954337856671,-0.3576875287482997
370,623.9177354798678,728.5028647662662,276.62505436407145,-15.001418041652435,99321.42367814045,357.055883436853,-5.547229214354563,0.0039030408374292,4.248347012311862,993.1466590310956,600,-6.623612949735293,12.453307524434852,11.078722857716137,1.3745846667187145,8.817537357150927,-0.36478879525452346
422,163.04885219138518,831.3621618846521,276.61162746991545,-15.068428391148448,92586.5496464576,347.4968055467398,-5.470991623720799,0.0040748605842072,4.248347012311862,993.1466590310956,600,-5.897815798033595,12.529545115068615,11.804520009417836,0.7250251056507793,9.543334508852626,-1.0143483563224587
241,1622.866391380437,467.29363060078913,276.6598019896367,-14.856106310348846,88399.36255975126,341.4188670511376,-5.420744707450816,0.0041932255304088,4.248347012311862,993.1466590310956,600,-6.478937058525272,12.579792031338599,11.223398748926158,1.3563932824124407,8.962213248360948,-0.3829801795607972
163,1713.034718878762,344.82881835300503,276.6777034684384,-14.842593330108627,86847.53750569467,339.13864086008505,-5.401515646230404,0.0042396460850447,4.248347012311862,993.1466590310956,600,-6.021239219440314,12.59902109255901,11.681096588011116,0.9179245045478943,9.419911087445906,-0.8214489574253436
646,1326.5238381633544,1331.307291740112,276.53199491721955,-14.902404506470091,84532.79192912282,335.7086119655763,-5.372184906511613,0.0043116858167493,4.248347012311862,993.1466590310956,600,-6.064633880715356,12.6283518322778,11.637701926736074,0.9906499055417264,9.376516426170864,-0.7487235564315116
