RA,DEC,Magnitude
276.7291005049541,-15.106119061160925,15.826336385939895
276.72764476714434,-15.085716888619757,15.05404379642751
276.7273749242865,-15.081958842864651,15.407553094033362
276.7268305240962,-15.078736907691408,15.600491054873082
276.7189136046096,-14.8201925213547,14.092134900132823
276.7267217220072,-15.087929845759367,14.540396209309243
276.7179750401077,-14.797809831994014,14.141884040959878
276.72574416597934,-15.06470154090472,15.760751365042335
276.7266030692413,-15.09616005466299,13.397182240448656
276.7260237776405,-15.083391980556856,15.370193895371305
276.72579693466963,-15.104310135152643,12.89881474957916
276.7253329356611,-15.09316717605997,14.042842276786423
276.7252572514589,-15.096539455343589,13.488093587264391
276.72467016140433,-15.080917703504257,15.506816184705439
276.72498695518493,-15.103075731536418,12.710395111727047
276.7249128043309,-15.09842553981129,13.23068773905539
276.7161242521033,-14.796546839042177,15.612218676368977
276.7243482913882,-15.08985947513583,14.699796252822239
276.7241203415709,-15.087862824537678,15.06378167978098
276.7234601293027,-15.072902297675187,14.425972997682605
276.7197112604505,-14.947652876693956,12.441150625388197
276.7198096645504,-14.961338328200817,12.932718483238776
276.7234745333127,-15.093689233147632,14.166772735961882
276.72302280524883,-15.079363003936017,15.583491470104546
276.7213678084492,-15.020005641664463,15.558881578200674
276.7232415495414,-15.094731135586205,14.019083516812337
276.7202277146571,-14.993531235490485,14.536025838920793
276.7230631568661,-15.103503577514303,12.666888353451261
276.7226291510797,-15.089650125248658,14.909828274510735
276.71168390999736,-14.724337535488162,14.888387790437129
276.72189101490517,-15.095754569413035,13.969399688872887
276.7218297036968,-15.100787587377079,13.121392808195893
276.7131709943158,-14.819711752065274,14.800584156348009
276.72102247245016,-15.099162889864665,13.495990704211225
276.7209704903782,-15.104185644937406,12.717412159455481
276.7203741055699,-15.085675689289234,15.44906559836065
276.7202127058347,-15.097785330885477,13.816951864447734
276.7198952544102,-15.093856630835457,14.544558365421388
276.71872977414324,-15.100334178538095,13.547974183512626
276.71836816726193,-15.096251465227104,14.302282380560811
276.7178922133959,-15.102395609868237,13.341546206359366
276.71666412582357,-15.09013429913915,15.361451518825858
276.7167808880806,-15.099520107650463,13.90670882080851
276.7115099468618,-14.920297228769481,14.179722659551544
276.7158917398933,-15.092227526218203,15.174585454283198
276.7153379791625,-15.098777129703562,14.195147274190283
276.7154406917002,-15.10387142057908,13.335546475014416
276.71457911387114,-15.095716580577525,14.829501029011674
276.7140032376149,-15.077435759038535,13.996261766017989
276.7091463334572,-14.916549496825436,20.773177882163147
276.71449817008056,-15.10179424730506,13.788337803750508
276.7142608345762,-15.097386386970436,14.529357590064361
276.71410333017053,-15.098729986091328,14.338154578836898
276.7066759428734,-14.853449574502884,14.430958950031712
276.713461099259,-15.094386433854837,15.061837618912548
276.71134223610125,-15.031723785454028,14.945530015240582
276.7132264590978,-15.096892323742617,14.748492749256302
276.7128826459362,-15.10074051997028,14.145863878276682
276.71269145158095,-15.09829140450752,14.445728394502183
276.711907620584,-15.09259990836795,13.633816441182288
276.7041712923167,-14.830968143975735,15.247145717475355
276.70018235987743,-14.71636375275853,13.940490360318972
276.702687977587,-14.821008815316386,14.657445807432442
276.71059704234506,-15.10465265519585,13.713484538992756
276.706979381444,-14.99368800656833,14.807757599761167
276.70530208232327,-14.93979824059691,15.206268950838147
276.7095329829266,-15.097676922614578,14.992375936216499
276.70965418927744,-15.105126295127386,13.728816267971299
276.70948321980205,-15.101740050218785,14.312085076849115
276.70114206471675,-14.829963735391093,11.40767850369124
276.708719501388,-15.09931713625248,14.820177174185016
276.70867558207027,-15.10352571629623,14.117633993198956
276.7082249343597,-15.092075787253114,15.444465448757885
276.7072039960696,-15.104121838218296,14.13510763092195
276.70662101926126,-15.094846711427119,15.355760967037206
276.7066721691839,-15.102812481855642,14.43168066188105
276.70059266929326,-14.921364876512692,14.811829584284967
276.7054543877548,-15.097926773644147,15.258480421414873
276.69499493489053,-14.751120392183037,18.55585034673237
276.69957532950286,-14.912591806802617,13.893451455228535
276.70492504784346,-15.105502263088315,14.10340853613468
276.7048824569111,-15.103257112057895,14.574495961609502
276.7042398083254,-15.089956934780165,15.433178572899035
276.70108382349025,-14.991682825071472,15.907383057139418
276.69856962602705,-14.91077774377531,13.120722312378927
276.7015806604847,-15.050209738801822,12.977083053862284
276.6966089376899,-14.910628177956266,15.027206545007969
276.69611222340194,-14.91863272782373,13.765474163043509
276.70158628204007,-15.102224796933493,15.012104065033022
276.70057274632563,-15.077416099159182,15.397307373686385
276.70022335678306,-15.105297392409572,14.68942528070262
276.6983423527609,-15.066136821265548,12.731312704328069
276.6990581937852,-15.103863549077694,14.977333708822679
276.6987355685073,-15.10511205346796,14.835821673438833
276.6974074979391,-15.085950365983333,14.518862609865696
276.6924840307524,-14.918776200095662,13.253734489514681
276.69205528094784,-14.90786123633926,15.278429465861283
276.6943990903637,-15.010516323574585,14.695614654487091
276.6969390396987,-15.10502702843506,14.99251998398966
276.6838057171708,-14.732954178671443,14.777664862701776
276.6945958231013,-15.105909112295572,15.022111551694223
276.68884537050485,-14.936678152865849,14.297437504743074
276.6878357498263,-14.921103498420635,12.2996371275355
276.69050354626495,-15.031620417257155,13.514054907959597
276.69114201439385,-15.095289652878328,15.267053449991867
276.68812363522716,-15.104335699039906,15.319667093553218
276.68574582118106,-15.028883601700912,15.278439170497872
276.6746942582993,-14.710132143152402,12.780297743118624
276.67824550597413,-14.84900111432157,13.751487744100867
276.68273025601593,-15.005638067712367,15.13502659190631
276.67765265372515,-14.842598096554513,13.096411876149599
276.6799802714848,-14.98864316888417,14.819393339510157
276.67245109226536,-14.744657047138924,12.909006353865596
276.6706079682857,-14.743919177925488,13.579258335466491
276.67773938298205,-15.035323767506526,15.389692374771336
276.67915758749973,-15.104668770856726,15.066557455253495
276.6784371092599,-15.094903389315581,14.82667975191325
276.6776738098567,-15.092480099497035,12.913735859870389
276.67620098108597,-15.048173752904413,15.34016319840869
276.6710117425589,-14.900156986686811,13.941068208467811
276.6677086214129,-14.833049687299315,13.291132984229645
276.6641530977873,-14.749018880002149,15.109433101508507
276.673157076074,-15.084589475513246,15.698587101452892
276.6706547921807,-14.994200298428966,14.493548824288903
276.6678287080309,-14.898156304980034,14.582122662859243
276.6689183875612,-14.954816642519551,16.266403464783664
276.66168679037867,-14.724197160986051,14.060551157889599
276.6661589032997,-14.923296013702387,15.582499665067091
276.6709017218143,-15.105543289819705,15.207985747686998
276.66366864883724,-14.915981147595842,14.792206670152275
276.65977780032176,-14.856124169215565,13.473770109453401
276.6624826058661,-14.985349695897725,15.762604725960431
276.6616315929049,-14.96637037674067,15.477435473648187
276.6587036717513,-14.871913440567845,21.11893287870816
276.6629569175576,-15.029466160722825,14.213575755725053
276.6605997623404,-15.011981879492017,15.217513685636732
276.6597134283643,-15.097603240552921,16.51743703695938
276.6562389024671,-14.989496360563658,14.833219659849755
276.6566916084083,-15.014870994154526,15.48604876275824
276.652662390669,-14.882838006433868,15.142798192333231
276.6438506724578,-14.667076081169364,14.199558068431676
276.653090817703,-15.06660096982149,10.874579461003838
