ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Erro_Fluxo,Mag_Inst,Erro_Mag_Inst,Std_Fundo_Local,Area_Ap,Exptime
451,2204.8440127870936,1270.3620086995506,276.53084186283036,-14.793600430176484,4684588.896046768,2196.1040814115995,-10.681828689958802,0.000508968930699692,11.85638888415623,625.9983263132058,250
178,289.16724681400905,504.87038925013553,276.6531021445228,-15.066602528039283,665513.2030797655,840.3343242434366,-8.563041667921048,0.0013708983858006928,6.428190603371994,625.9983263132058,250
472,1749.7748981203858,1318.2261055491513,276.525610124639,-14.859401274482519,518476.9392453306,742.7707051149423,-8.291973589962716,0.0015553751642591606,5.812196479851177,625.9983263132058,250
48,1920.213477533433,136.23206697202016,276.70115888878047,-14.829945350768407,469037.4372905757,728.4395878110779,-8.183168749072594,0.0016861486900810723,7.912430277280094,625.9983263132058,250
661,2517.7694164840073,2058.104692522373,276.4120788634073,-14.751642219429769,398110.92115922016,657.0196951551533,-8.005160207096331,0.0017917777310727501,5.841208118693978,625.9983263132058,250
547,294.8752652804137,1556.7105614229208,276.4960812999995,-15.07001128088143,384069.65868743043,650.6717758147255,-7.966174976998924,0.00183933911732655,6.320988872803242,625.9983263132058,250
192,39.42846959895621,555.5950624566666,276.6465851293749,-15.102794448916649,287267.5386274981,811.7284456548153,-7.650866361508516,0.0030678494954844617,19.43679730941246,625.9983263132058,250
350,1121.1244058367065,1007.8023380868864,276.57455097592646,-14.948759364420841,236197.45916166552,523.8645901634987,-7.438338032025889,0.0024079843515641824,6.234562849843042,625.9983263132058,250
182,513.7250944122183,515.3462434462093,276.6505897646595,-15.034286001380023,220520.4787161823,506.41297613836497,-7.363772294807541,0.00249324947684814,6.043890662031423,625.9983263132058,250
646,2231.693660905296,1960.2423556788385,276.42785557429215,-14.792496743972666,187970.64012854948,467.70948051525914,-7.190375029326052,0.0027014441332335075,5.593853758765243,625.9983263132058,250
376,1818.3247716649903,1066.943828018,276.56279995946693,-14.848499407483473,182784.30300236458,463.65653549819785,-7.1599972208712686,0.0027540215014189777,5.72067604882268,625.9983263132058,250
6,1100.9471968110756,35.21283326254797,276.7197294021827,-14.94764859830143,169329.5569291007,459.2834669045771,-7.076981908306217,0.0029448140599994876,6.503903082934921,625.9983263132058,250
284,2663.974168684957,819.087806624101,276.59618617759173,-14.725537988779948,168154.6494688447,445.9026062319062,-7.069422178421071,0.002878995383803982,5.5841198369041,625.9983263132058,250
111,2517.027102912942,311.5402246770329,276.67246956064463,-14.744609215428948,164827.7608289919,458.96597637195947,-7.047725875355844,0.0030231519134936253,6.825007663190767,625.9983263132058,250
609,1347.5136808500238,1807.2254548253882,276.4543391400692,-14.919332346593112,161358.80664721318,441.29303450551475,-7.024631661639581,0.0029692327150766776,5.825242953213402,625.9983263132058,250
98,2755.596547352506,289.5085229262413,276.674732746481,-14.71010297054801,160139.3030225212,448.2184702009661,-7.0163948132867535,0.0030387967470343717,6.437034115531084,625.9983263132058,250
632,1446.2886424252558,1914.8317107543046,276.43787698654313,-14.905521819325928,158451.02146645606,439.11373156855655,-7.004887586438566,0.0030087895549787197,5.9109174718793245,625.9983263132058,250
601,2020.3432395741686,1763.9170392510848,276.4580102519429,-14.822184576426174,149401.1940258933,425.136543863488,-6.9410351493407205,0.003089471598149292,5.644361278275303,625.9983263132058,250
343,1468.7848229317726,992.0682333111549,276.5754375015878,-14.898583741898026,139243.61511038273,414.90238861265647,-6.86458820362728,0.003235046166818263,5.78317758435371,625.9983263132058,250
61,283.72801455317415,201.69946246092402,276.6983715500406,-15.06613553032644,138674.6665793782,423.2258612696484,-6.8601428042245765,0.003313484206702159,6.412110492539396,625.9983263132058,250
